,player,id
1,Pau Gasol,2200
6,Joakim Noah,201149
7,Derrick Williams,202682
8,Randy Foye,200751
10,Mike Miller,2034
14,Draymond Green,203110
15,Kyle Lowry,200768
16,Carlos Boozer,2430
21,Thaddeus Young,201152
25,Kevin Love,201567
26,KJ McDaniels,203909
28,Nikola Vucevic,202696
29,Aaron Brooks,201166
32,Jodie Meeks,201975
40,Jared Sullinger,203096
41,Paul Millsap,200794
42,Avery Bradley,202340
44,Joe Johnson,2207
45,Will Barton,203115
46,Nik Stauskas,203917
48,Jerami Grant,203924
49,James Jones,2592
51,DeMarcus Cousins,202326
53,Trey Burke,203504
54,Caron Butler,2406
57,Marc Gasol,201188
60,Tony Parker,2225
64,LeBron James,2544
66,Brook Lopez,201572
68,Damian Lillard,203081
69,Zach Randolph,2216
74,Enes Kanter,202683
75,Ty Lawson,201951
78,Wesley Matthews,202083
91,Mario Chalmers,201596
111,AlFarouq Aminu,202329
113,Al Horford,201143
120,Kyle O'Quinn,203124
122,James Johnson,201949
124,Amir Johnson,101161
137,Chris Kaman,2549
141,Ersan Ilyasova,101141
142,OJ Mayo,201564
143,Brian Roberts,203148
147,JR Smith,2747
148,Jason Smith,201160
151,Manu Ginobili,1938
152,Reggie Jackson,202704
156,Leandro Barbosa,2571
157,Courtney Lee,201584
160,Luol Deng,2736
162,Jordan Hill,201941
166,Eric Bledsoe,202339
169,Zaza Pachulia,2585
170,Josh Smith,2746
177,Jamal Crawford,2037
178,Joe Ingles,204060
192,Khris Middleton,203114
197,Jon Leuer,202720
198,Kentavious CaldwellPope,203484
205,DeAndre Jordan,201599
208,Jordan Clarkson,203903
209,Goran Dragic,201609
214,Stephen Curry,201939
218,Chris Copeland,203142
219,Miles Plumlee,203101
224,Tim Hardaway,203501
226,Isaiah Thomas,202738
227,Wesley Johnson,202325
228,Kelly Olynyk,203482
229,Steven Adams,203500
234,David West,2561
239,Pablo Prigioni,203143
242,Rajon Rondo,200765
249,Kyle Singler,202713
250,Gary Neal,202390
251,LaMarcus Aldridge,200746
254,Rodney Stuckey,201155
256,Beno Udrih,2757
257,Omri Casspi,201956
258,Nene Hilario,2403
260,Chris Paul,101108
261,Marcus Smart,203935
267,Kemba Walker,202689
269,Channing Frye,101112
270,JJ Barea,200826
271,Tyreke Evans,201936
278,Mike Conley,201144
284,Alan Anderson,101187
286,Jeff Teague,201952
289,Kirk Hinrich,2550
291,Evan Turner,202323
293,Trevor Ariza,2772
297,Cory Joseph,202709
298,Monta Ellis,101145
302,Lavoy Allen,202730
303,Zach LaVine,203897
304,Mike Scott,203118
306,Shelvin Mack,202714
307,Jeff Green,201145
308,Donald Sloan,202388
309,Gorgui Dieng,203476
311,Roy Hibbert,201579
314,Meyers Leonard,203086
317,Tony Allen,2754
323,James Harden,201935
328,Danilo Gallinari,201568
337,Michael CarterWilliams,203487
339,Austin Rivers,203085
340,Nick Collison,2555
342,Corey Brewer,201147
346,Kyrie Irving,202681
348,Darrell Arthur,201589
354,Jason Terry,1891
355,Ryan Kelly,203527
357,Thomas Robinson,203080
358,Rudy Gobert,203497
364,Hollis Thompson,203138
365,Kenneth Faried,202702
368,Shaun Livingston,2733
370,Vince Carter,1713
372,Bradley Beal,203078
381,Andrew Wiggins,203952
387,CJ McCollum,203468
389,Rasual Butler,2446
391,Dewayne Dedmon,203473
400,Kosta Koufos,201585
404,Cole Aldrich,202332
410,Nick Calathes,201979
412,Norris Cole,202708
414,Tyler Hansbrough,201946
418,Lance Thomas,202498
