Rk,Player,Season,Age,Tm,Lg,G,MP,Ht,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Steven Adams\adamsst01,2015-16,22,OKC,NBA,80,25.2,7-0,80,2014,4.7,7.6,4.7,7.6,0.0,0.0,2.0,3.5,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4,.613,.613,,.613,.582,.621
2,Alexis Ajinca\ajincal01,2015-16,27,NOP,NBA,59,14.6,7-2,17,861,6.3,13.2,6.3,13.1,0.0,0.0,2.2,2.6,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7,.476,.478,.000,.476,.839,.514
3,Cole Aldrich\aldrico01,2015-16,27,LAC,NBA,60,13.3,6-11,5,800,6.0,10.1,6.0,10.1,0.0,0.0,2.7,3.8,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8,.596,.596,,.596,.714,.626
4,LaMarcus Aldridge\aldrila01,2015-16,30,SAS,NBA,74,30.6,6-11,74,2261,8.5,16.6,8.5,16.4,0.0,0.3,4.1,4.8,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,.513,.521,.000,.513,.858,.565
5,Lavoy Allen\allenla01,2015-16,26,IND,NBA,79,20.2,6-9,28,1599,4.3,8.3,4.3,8.3,0.0,0.0,1.0,1.6,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6,.516,.516,,.516,.630,.532
6,Al-Farouq Aminu\aminual01,2015-16,25,POR,NBA,82,28.5,6-9,82,2341,4.6,11.1,2.7,5.7,1.9,5.4,1.8,2.4,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9,.416,.468,.361,.503,.737,.533
7,Kyle Anderson\anderky01,2015-16,22,SAS,NBA,78,16.0,6-9,11,1245,4.0,8.5,3.6,7.5,0.3,1.1,1.8,2.4,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1,.468,.488,.324,.488,.747,.528
8,Ryan Anderson\anderry01,2015-16,27,NOP,NBA,66,30.4,6-10,7,2008,7.1,16.7,4.8,10.2,2.3,6.4,3.6,4.1,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2.0,20.2,.427,.466,.366,.498,.873,.546
9,Giannis Antetokounmpo\antetgi01,2015-16,21,MIL,NBA,80,35.3,6-11,79,2823,6.5,12.9,6.2,11.5,0.4,1.4,3.8,5.2,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2,.506,.537,.257,.520,.724,.566
10,Darrell Arthur\arthuda01,2015-16,27,DEN,NBA,70,21.7,6-9,16,1516,5.2,11.6,4.2,8.8,1.1,2.8,0.9,1.3,2.0,4.9,7.0,2.3,1.3,1.1,1.6,4.4,12.5,.452,.473,.385,.498,.755,.514
11,Omer Asik\asikom01,2015-16,29,NOP,NBA,68,17.3,7-0,64,1178,3.2,6.0,3.2,6.0,0.0,0.0,1.9,3.4,3.7,9.0,12.7,0.8,0.6,0.7,1.8,3.8,8.2,.533,.533,,.533,.545,.551
12,Aron Baynes\baynear01,2015-16,29,DET,NBA,81,15.2,6-10,1,1233,5.7,11.2,5.7,11.2,0.0,0.1,3.7,4.8,4.1,7.1,11.2,1.5,0.6,1.5,2.0,4.4,15.0,.505,.508,.000,.505,.764,.563
13,Bismack Biyombo\biyombi01,2015-16,23,TOR,NBA,82,22.0,6-9,22,1808,3.1,5.7,3.1,5.7,0.0,0.0,2.8,4.5,3.6,9.4,13.0,0.6,0.4,2.6,1.4,4.5,9.0,.542,.544,.000,.542,.628,.586
14,Nemanja Bjelica\bjeline01,2015-16,27,MIN,NBA,60,17.9,6-10,0,1075,3.7,7.9,2.1,3.7,1.6,4.2,1.3,1.8,1.6,5.4,7.0,2.8,0.9,0.7,1.6,5.2,10.3,.468,.564,.384,.570,.727,.594
15,Andrew Bogut\bogutan01,2015-16,31,GSW,NBA,70,20.7,7-0,66,1451,4.3,6.9,4.3,6.9,0.0,0.0,0.6,1.2,3.0,9.2,12.2,4.0,0.8,2.8,2.1,5.5,9.3,.627,.626,1.000,.629,.480,.623
16,Chris Bosh\boshch01,2015-16,31,MIA,NBA,53,33.5,6-11,53,1778,7.2,15.5,5.6,11.0,1.6,4.5,4.3,5.4,1.0,6.9,7.9,2.6,0.7,0.7,1.6,2.0,20.4,.467,.508,.365,.520,.795,.571
17,Corey Brewer\breweco01,2015-16,29,HOU,NBA,82,20.4,6-9,12,1669,4.6,11.9,3.3,7.1,1.3,4.8,2.3,3.0,0.9,3.4,4.3,2.4,1.8,0.4,1.7,3.6,12.7,.384,.460,.272,.439,.750,.481
18,Clint Capela\capelca01,2015-16,21,HOU,NBA,77,19.1,6-10,35,1471,5.7,9.7,5.7,9.7,0.0,0.0,2.0,5.2,4.7,7.3,12.1,1.2,1.4,2.3,1.5,4.6,13.3,.582,.583,.000,.582,.379,.553
19,Omri Casspi\casspom01,2015-16,27,SAC,NBA,69,27.2,6-9,21,1880,5.7,11.9,3.6,6.7,2.1,5.2,2.0,3.0,1.1,6.7,7.9,1.8,1.1,0.3,1.8,2.9,15.6,.481,.537,.409,.571,.648,.587
20,Willie Cauley-Stein\caulewi01,2015-16,22,SAC,NBA,66,21.4,7-0,39,1412,4.9,8.6,4.9,8.6,0.0,0.1,2.1,3.2,3.4,5.6,9.0,0.9,1.2,1.7,1.2,3.7,11.8,.563,.567,.000,.563,.648,.588
