Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Quincy Acy\acyqu01,2015-16,25,SAC,NBA,59,14.8,.629,29,876,14.7,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,124,108,1.8,0.7,2.5,.137,0.2,0.0,0.2,0.5
2,Steven Adams\adamsst01,2015-16,22,OKC,NBA,80,25.2,.621,80,2014,15.5,.000,.460,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,123,105,4.2,2.3,6.5,.155,0.8,1.3,2.1,2.1
3,Cole Aldrich\aldrico01,2015-16,27,LAC,NBA,60,13.3,.626,5,800,21.3,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,113,94,1.4,2.0,3.5,.209,-1.0,5.8,4.8,1.4
4,LaMarcus Aldridge\aldrila01,2015-16,30,SAS,NBA,74,30.6,.565,74,2261,22.4,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,114,99,5.6,4.5,10.1,.215,0.7,1.1,1.8,2.2
5,Giannis Antetokounmpo\antetgi01,2015-16,21,MIL,NBA,80,35.3,.566,79,2823,18.8,.108,.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,109,106,4.2,2.9,7.1,.121,1.0,1.5,2.4,3.2
6,D.J. Augustin\augusdj01,2015-16,28,TOT,NBA,62,19.0,.575,0,1178,13.9,.480,.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,113,111,2.0,0.6,2.6,.106,1.0,-2.7,-1.7,0.1
7,Harrison Barnes\barneha02,2015-16,23,GSW,NBA,66,30.9,.559,59,2042,12.3,.338,.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,114,107,3.1,1.9,4.9,.116,0.4,-0.6,-0.2,0.9
8,Brandon Bass\bassbr01,2015-16,30,LAL,NBA,66,20.3,.619,0,1342,17.4,.006,.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,127,111,3.4,0.7,4.1,.146,0.1,0.7,0.8,1.0
9,Jerryd Bayless\bayleje01,2015-16,27,MIL,NBA,52,28.9,.568,18,1505,12.4,.529,.206,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,110,112,1.8,0.6,2.4,.075,1.1,-2.1,-1.0,0.4
10,Aron Baynes\baynear01,2015-16,29,DET,NBA,81,15.2,.563,1,1233,17.8,.005,.430,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,114,104,2.4,1.7,4.1,.158,-1.3,1.1,-0.2,0.6
11,Bismack Biyombo\biyombi01,2015-16,23,TOR,NBA,82,22.0,.586,22,1808,14.9,.003,.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,118,101,2.8,3.1,5.9,.156,-2.4,2.3,-0.1,0.9
12,Nemanja Bjelica\bjeline01,2015-16,27,MIN,NBA,60,17.9,.594,0,1075,11.2,.532,.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,114,110,1.4,0.6,1.9,.087,0.5,-0.2,0.3,0.6
