,cfga,cfgm,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Pau Gasol,5.262626262626263,2.3333333333333335,1.5039393939393941,2.847474747474747,56.666666666666664,41.58585858585859,0.5151515151515151,0.35353535353535354,3.5555555555555554,7.717171717171717,4.888888888888889
George Hill,3.1043478260869564,1.3565217391304347,1.6804347826086956,2.9644347826086954,50.8,40.052173913043475,0.6521739130434783,0.24347826086956523,0.5652173913043478,1.0869565217391304,1.1016949152542372
Derrick Williams,3.597560975609756,1.7682926829268293,1.1757317073170732,3.9658536585365853,31.548780487804876,21.536585365853657,0.3170731707317073,0.04878048780487805,0.5,1.048780487804878,0.8367346938775511
Randy Foye,2.2162162162162162,0.8198198198198198,1.122342342342342,3.5230630630630637,25.53153153153153,18.65765765765766,0.5225225225225225,0.22522522522522523,0.5135135135135135,1.027027027027027,0.8769230769230769
Draymond Green,5.446428571428571,2.6339285714285716,2.1092857142857153,3.580357142857143,76.88392857142857,60.473214285714285,1.4196428571428572,0.6696428571428571,2.6964285714285716,6.0,3.2127659574468086
Kyle Lowry,8.445544554455445,3.4356435643564356,2.3298019801980203,3.7646534653465347,85.77227722772277,61.257425742574256,1.0495049504950495,0.6336633663366337,1.316831683168317,2.1584158415841586,1.5647058823529412
Raymond Felton,3.847826086956522,1.7391304347826086,1.7369565217391305,3.778369565217392,52.70652173913044,40.369565217391305,0.7608695652173914,0.391304347826087,0.7391304347826086,1.3478260869565217,1.0625
Thaddeus Young,7.387096774193548,3.774193548387097,1.829032258064516,3.3286021505376344,50.12903225806452,36.16129032258065,0.46236559139784944,0.10752688172043011,2.150537634408602,3.956989247311828,2.857142857142857
Kevin Love,4.813725490196078,2.0588235294117645,1.9497058823529412,3.756372549019609,58.21568627450981,40.931372549019606,0.6764705882352942,0.16666666666666666,3.1666666666666665,5.764705882352941,3.510869565217391
Nikola Vucevic,7.7594936708860756,4.050632911392405,1.6603797468354433,3.2046835443037973,49.12658227848101,32.78481012658228,0.379746835443038,0.20253164556962025,3.367088607594937,6.2784810126582276,4.290322580645161
Aaron Brooks,3.6626506024096384,1.6144578313253013,0.9185542168674699,3.443614457831326,29.662650602409638,21.566265060240966,0.6024096385542169,0.26506024096385544,0.43373493975903615,0.7108433734939759,0.8181818181818182
Larry Nance,2.283582089552239,1.2985074626865671,1.394925373134328,4.16417910447761,31.73134328358209,25.582089552238806,0.16417910447761194,0.11940298507462686,1.208955223880597,2.1791044776119404,1.5576923076923077
Jared Sullinger,4.482758620689655,2.0114942528735633,1.4586206896551719,3.8096551724137937,44.59770114942529,31.666666666666668,0.5977011494252874,0.1724137931034483,2.793103448275862,5.149425287356322,2.9634146341463414
Paul Millsap,7.473684210526316,3.568421052631579,2.184947368421052,3.958421052631579,62.56842105263158,43.55789473684211,0.7052631578947368,0.15789473684210525,3.9473684210526314,8.021052631578947,4.213483146067416
Avery Bradley,5.707865168539326,2.7191011235955056,2.0204494382022467,3.625280898876404,34.02247191011236,19.730337078651687,0.550561797752809,0.14606741573033707,0.6629213483146067,1.2584269662921348,1.1132075471698113
Joe Johnson,4.6902654867256635,2.106194690265487,1.9305309734513274,3.4486725663716813,42.0,29.41592920353982,0.6106194690265486,0.23008849557522124,0.6902654867256637,1.336283185840708,1.1142857142857143
Will Barton,7.0602409638554215,3.1686746987951806,1.9959036144578306,4.177951807228919,48.46987951807229,31.373493975903614,0.8072289156626506,0.30120481927710846,1.6626506024096386,2.9518072289156625,1.7922077922077921
Nik Stauskas,2.888888888888889,1.2098765432098766,1.6791358024691356,4.0508641975308635,34.27160493827161,24.641975308641975,0.3950617283950617,0.24691358024691357,0.8888888888888888,1.7654320987654322,1.309090909090909
Devin Booker,6.222222222222222,2.5555555555555554,1.8261728395061727,3.9712345679012326,41.03703703703704,25.0,0.5185185185185185,0.2962962962962963,0.9135802469135802,1.617283950617284,1.2982456140350878
Jerami Grant,4.819277108433735,2.2048192771084336,1.8434939759036146,4.12710843373494,44.0,31.97590361445783,0.37349397590361444,0.0963855421686747,2.144578313253012,4.710843373493976,2.3421052631578947
DeMarcus Cousins,10.87012987012987,5.259740259740259,1.7796103896103892,3.101948051948052,60.79220779220779,34.688311688311686,0.6233766233766234,0.23376623376623376,3.4805194805194803,7.025974025974026,4.1875
Trey Burke,3.8780487804878048,1.7439024390243902,1.192682926829268,3.366707317073171,39.30487804878049,28.829268292682926,0.524390243902439,0.23170731707317074,0.5121951219512195,0.8292682926829268,1.105263157894737
Julius Randle,7.121951219512195,3.182926829268293,1.8636585365853664,3.9707317073170723,55.4390243902439,40.5609756097561,0.24390243902439024,0.0975609756097561,2.4634146341463414,4.378048780487805,2.72972972972973
Marc Gasol,4.390243902439025,2.048780487804878,1.3335365853658538,2.3217073170731704,44.30487804878049,30.975609756097562,0.4878048780487805,0.32926829268292684,2.0,4.390243902439025,3.215686274509804
Tony Parker,3.388888888888889,1.6666666666666667,1.357539682539683,2.9857142857142844,44.611111111111114,34.698412698412696,0.9523809523809523,0.16666666666666666,0.5238095238095238,0.8412698412698413,1.1379310344827587
