Player,Season_x,Age_x,Tm_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Aaron Brooks,2016-17,32,IND,NBA,65,13.8,6-0,0,894,4.9,12.1,2.9,6.9,1.9,5.2,1.3,1.6,0.7,2.1,2.8,5.0,1.0,0.4,2.7,3.7,13.0,0.403,0.424,0.375,0.483,0.8,0.507,9.5,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,98,113,-0.2,0.5,0.3,0.016,-2.1,-2.6,-4.6,-0.6,0.730853658537,3.19573170732,21.4390243902,16.0365853659,0.280487804878,0.134146341463,0.353658536585,0.536585365854,0.852941176471
Aaron Gordon,2016-17,21,ORL,NBA,80,28.7,6-9,72,2298,6.2,13.6,5.0,9.4,1.2,4.2,2.4,3.4,1.8,4.5,6.3,2.3,1.0,0.6,1.4,2.7,16.0,0.454,0.528,0.288,0.499,0.719,0.53,14.4,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,107,111,2.0,1.7,3.7,0.076,-0.2,-0.4,-0.7,0.8,2.03682926829,4.23768292683,38.3414634146,24.5609756098,0.487804878049,0.19512195122,1.25609756098,2.36585365854,1.41095890411
Al Horford,2016-17,30,BOS,NBA,68,32.3,6-10,68,2193,6.2,13.1,4.8,9.2,1.4,4.0,1.8,2.2,1.6,6.1,7.6,5.5,0.9,1.4,1.9,2.3,15.6,0.473,0.524,0.355,0.527,0.8,0.553,17.7,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,114,107,3.6,2.7,6.3,0.137,1.0,2.1,3.1,2.8,2.09482352941,3.87811764706,66.5411764706,50.6705882353,0.952941176471,0.470588235294,3.10588235294,6.22352941176,3.21951219512
Al Jefferson,2016-17,32,IND,NBA,66,14.1,6-10,1,931,9.1,18.2,9.1,18.2,0.0,0.0,2.5,3.3,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7,0.499,0.5,0.0,0.499,0.765,0.526,18.9,0.002,0.18,9.2,24.2,16.8,11.0,1.0,1.5,6.1,26.1,109,108,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.3,0.711951219512,3.02182926829,19.6707317073,12.8414634146,0.182926829268,0.0487804878049,1.01219512195,2.07317073171,1.48214285714
AlFarouq Aminu,2016-17,26,POR,NBA,61,29.1,6-9,25,1773,3.7,9.5,2.3,5.2,1.4,4.3,1.9,2.8,1.6,7.6,9.2,2.0,1.2,0.9,1.9,2.1,10.8,0.393,0.445,0.33,0.468,0.706,0.506,11.3,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,100,108,-0.1,2.0,1.9,0.051,-2.3,1.2,-1.1,0.4,1.83941176471,3.87220588235,38.7794117647,28.1470588235,0.441176470588,0.191176470588,2.10294117647,4.32352941176,2.46551724138
Alex Abrines,2016-17,23,OKC,NBA,68,15.5,6-6,6,1055,4.6,11.6,1.4,3.2,3.2,8.4,1.5,1.7,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9,0.393,0.426,0.381,0.531,0.898,0.56,10.1,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,113,110,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,0.96256097561,3.75207317073,16.0365853659,10.743902439,0.146341463415,0.0487804878049,0.658536585366,1.13414634146,1.05882352941
Alex Len,2016-17,23,PHO,NBA,77,20.3,7-1,34,1560,5.3,10.7,5.2,10.4,0.1,0.3,3.5,4.8,3.6,8.2,11.8,1.0,0.9,2.3,2.4,5.6,14.1,0.497,0.503,0.25,0.5,0.721,0.553,15.0,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,108,108,1.2,1.7,3.0,0.091,-3.0,1.2,-1.8,0.1,1.323625,3.830875,28.375,19.5875,0.1375,0.075,2.65,5.3125,3.21212121212
Allen Crabbe,2016-17,24,POR,NBA,79,28.5,6-6,7,2254,4.8,10.3,2.7,5.5,2.1,4.8,1.7,2.0,0.3,3.3,3.6,1.5,0.9,0.3,1.0,2.7,13.5,0.468,0.49,0.444,0.572,0.847,0.602,11.6,0.467,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,117,114,3.1,1.0,4.1,0.088,0.3,-1.4,-1.1,0.5,1.91458823529,4.09505882353,30.3647058824,20.4470588235,0.329411764706,0.117647058824,0.635294117647,1.29411764706,0.981818181818
Amir Johnson,2016-17,29,BOS,NBA,80,20.1,6-9,77,1608,4.8,8.3,4.2,6.8,0.6,1.5,1.5,2.2,2.6,5.6,8.2,3.1,1.2,1.4,1.7,4.7,11.6,0.576,0.612,0.409,0.612,0.67,0.628,15.0,0.178,0.27,8.2,17.0,12.6,13.0,1.6,3.2,15.7,13.6,121,107,2.9,2.1,5.0,0.149,-0.2,2.4,2.2,1.7,1.16887755102,3.77612244898,26.5204081633,20.693877551,0.428571428571,0.163265306122,2.11224489796,4.37755102041,2.35227272727
Andre Drummond,2016-17,23,DET,NBA,81,29.7,6-11,81,2409,7.2,13.6,7.2,13.5,0.0,0.1,2.0,5.3,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5,0.53,0.532,0.286,0.531,0.386,0.518,20.9,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,104,99,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,1.98716049383,4.02962962963,45.6790123457,30.1481481481,0.58024691358,0.0864197530864,3.79012345679,6.86419753086,3.88607594937
