,player_year,Player,Season_x,Age_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd,Tm,label
0,Nick Collison/2015-16,Nick Collison,2015-16,35,NBA,59,11.8,6-10,4,699,2.6,5.6,2.6,5.5,0.0,0.1,1.2,1.7,3.5,5.3,8.8,2.7,0.8,0.8,2.6,5.5,6.3,0.459,0.467,0.0,0.459,0.697,0.498,7.7,0.018,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,99,107,0.1,0.7,0.8,0.053,-2.5,1.3,-1.2,0.1,0.38134751773,2.02425531915,7.33333333333,5.74468085106,0.063829787234,0.063829787234,0.468085106383,0.985815602837,1.22222222222,OKC,6
1,Jimmer Fredette/2014-15,Jimmer Fredette,2014-15,25,NBA,50,10.2,6-2,0,509,4.5,11.7,3.8,8.3,0.6,3.4,3.0,3.2,0.6,2.3,2.8,4.1,1.1,0.1,2.3,3.0,12.6,0.38,0.458,0.188,0.407,0.956,0.479,9.8,0.289,0.271,1.8,7.1,4.5,17.2,1.5,0.3,15.1,19.6,97,111,0.0,0.2,0.2,0.021,-2.6,-2.9,-5.5,-0.4,0.432441860465,2.41965116279,8.77906976744,5.91860465116,0.116279069767,0.0813953488372,0.127906976744,0.279069767442,0.578947368421,NOP,6
2,Brandon Bass/2016-17,Brandon Bass,2016-17,31,NBA,52,11.1,6-8,0,577,6.7,11.6,6.6,11.4,0.1,0.2,4.8,5.5,2.7,5.4,8.0,1.3,0.9,0.7,1.8,2.8,18.2,0.575,0.579,0.333,0.578,0.875,0.65,19.7,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,125,109,1.6,0.6,2.2,0.186,0.1,-0.8,-0.7,0.2,0.463522727273,2.53295454545,10.3977272727,7.14772727273,0.102272727273,0.0227272727273,0.420454545455,0.852272727273,1.02777777778,LAC,9
3,Tyler Zeller/2016-17,Tyler Zeller,2016-17,27,NBA,51,10.3,7-0,5,525,5.3,10.8,5.3,10.8,0.0,0.1,1.5,2.7,2.9,5.6,8.5,2.9,0.5,1.4,1.4,4.2,12.2,0.494,0.497,0.0,0.494,0.564,0.508,13.0,0.006,0.247,9.2,17.0,13.2,12.2,0.7,3.3,10.2,16.5,109,109,0.5,0.6,1.0,0.094,-3.2,0.8,-2.5,-0.1,0.4725,2.84840909091,10.7954545455,7.86363636364,0.102272727273,0.0340909090909,0.772727272727,1.47727272727,1.38775510204,BOS,9
4,Justin Holiday/2014-15,Justin Holiday,2014-15,25,NBA,59,11.1,6-6,4,657,5.0,12.9,3.1,6.9,1.9,6.0,2.0,2.5,0.7,3.3,4.0,2.6,2.2,0.7,1.6,3.0,13.9,0.387,0.444,0.321,0.462,0.822,0.498,12.1,0.464,0.191,2.0,9.7,6.0,10.1,3.0,1.4,10.2,18.8,100,101,0.2,1.0,1.3,0.092,-1.4,0.5,-1.0,0.2,0.483663366337,2.74227722772,8.86138613861,5.94059405941,0.0990099009901,0.039603960396,0.247524752475,0.514851485149,0.78125,GSW,6
5,Tyler Ennis/2016-17,Tyler Ennis,2016-17,22,NBA,53,11.1,6-3,2,588,5.5,12.7,3.9,8.4,1.7,4.3,1.3,1.5,0.6,2.2,2.8,5.3,1.6,0.1,2.8,3.6,14.0,0.433,0.457,0.386,0.498,0.84,0.521,11.0,0.337,0.12,1.8,6.8,4.3,21.7,2.1,0.3,17.0,19.1,102,114,0.1,0.3,0.4,0.033,-2.1,-2.7,-4.7,-0.4,0.510375,2.8265,15.55,11.95,0.2625,0.0375,0.2125,0.3375,0.739130434783,TOT,6
6,Cory Jefferson/2014-15,Cory Jefferson,2014-15,24,NBA,50,10.6,6-9,1,531,5.1,11.3,4.9,10.3,0.1,1.0,2.1,3.7,3.2,6.6,9.8,1.1,0.7,1.4,1.4,4.1,12.4,0.449,0.48,0.133,0.455,0.574,0.48,13.2,0.09,0.323,10.0,20.6,15.3,4.8,1.0,3.2,9.5,18.1,101,106,0.2,0.6,0.8,0.071,-3.3,-0.4,-3.7,-0.2,0.516621621622,2.97175675676,11.5675675676,8.52702702703,0.0540540540541,0.0135135135135,0.702702702703,1.47297297297,1.44444444444,BRK,9
7,Phil Pressey/2014-15,Phil Pressey,2014-15,23,NBA,50,12.0,5-11,0,600,3.8,10.4,2.9,6.5,1.0,3.9,2.0,2.9,0.8,4.0,4.8,7.0,1.8,0.4,2.5,3.2,10.6,0.368,0.44,0.246,0.414,0.673,0.453,11.8,0.374,0.282,2.3,12.4,7.3,28.0,2.5,0.8,17.3,17.3,97,104,0.0,0.7,0.8,0.06,-2.3,0.0,-2.2,0.0,0.516744186047,2.65837209302,17.1046511628,13.5581395349,0.290697674419,0.162790697674,0.209302325581,0.337209302326,0.75,BOS,10
8,James Anderson/2015-16,James Anderson,2015-16,26,NBA,51,14.1,6-6,15,721,3.3,8.9,2.2,4.6,1.1,4.3,1.1,1.4,0.6,3.6,4.3,2.0,1.0,0.7,2.1,2.7,8.9,0.376,0.478,0.267,0.441,0.759,0.469,6.0,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,87,111,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,-0.4,0.53404040404,2.22202020202,8.0404040404,5.36363636364,0.151515151515,0.030303030303,0.242424242424,0.545454545455,0.888888888889,SAC,6
9,Hedo Turkoglu/2014-15,Hedo Turkoglu,2014-15,35,NBA,62,11.4,6-10,2,705,4.2,9.6,1.2,2.5,3.1,7.1,0.3,0.6,0.3,4.8,5.1,1.9,1.0,0.4,1.5,3.4,11.8,0.441,0.469,0.432,0.601,0.545,0.602,10.5,0.739,0.059,0.8,14.7,7.9,7.5,1.4,0.8,13.1,14.2,107,107,0.6,0.6,1.2,0.081,-0.1,-0.8,-0.9,0.2,0.534270833333,3.096875,11.40625,8.52083333333,0.0625,0.0104166666667,0.395833333333,0.916666666667,0.844444444444,LAC,6
10,Jakob Poeltl/2016-17,Jakob Poeltl,2016-17,21,NBA,54,11.6,7-0,4,626,3.9,6.6,3.9,6.6,0.0,0.0,1.8,3.3,4.5,5.0,9.5,0.7,1.0,1.2,1.7,6.5,9.5,0.583,0.583,,0.583,0.544,0.589,12.2,0.0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,118,108,0.9,0.7,1.6,0.125,-1.2,0.5,-0.7,0.2,0.534285714286,2.80791208791,8.61538461538,6.48351648352,0.0879120879121,0.032967032967,1.0,1.97802197802,1.97826086957,TOR,9
11,Mike Miller/2014-15,Mike Miller,2014-15,34,NBA,52,13.5,6-8,15,701,1.9,5.9,0.3,0.8,1.6,5.0,0.2,0.2,0.2,4.5,4.7,2.4,0.7,0.2,1.2,3.8,5.6,0.325,0.313,0.327,0.465,0.75,0.471,4.6,0.86,0.035,0.7,14.0,7.4,9.0,1.0,0.5,16.6,8.9,96,109,-0.1,0.5,0.4,0.028,-2.6,-0.3,-3.0,-0.2,0.54,2.53157894737,11.0947368421,9.30526315789,0.115789473684,0.0947368421053,0.263157894737,0.536842105263,0.961538461538,CLE,6
12,Charlie Villanueva/2015-16,Charlie Villanueva,2015-16,31,NBA,62,10.7,6-11,4,665,6.8,17.7,4.2,8.4,2.5,9.3,1.2,1.3,1.3,6.9,8.2,1.3,1.0,0.8,1.7,3.8,17.3,0.382,0.503,0.273,0.454,0.917,0.473,11.9,0.526,0.073,4.0,21.1,12.5,6.2,1.4,1.9,8.4,25.3,92,105,-0.6,0.8,0.2,0.016,-2.8,-1.8,-4.6,-0.4,0.548372093023,3.08360465116,13.6976744186,8.94186046512,0.0232558139535,0.0348837209302,0.581395348837,1.03488372093,1.42857142857,DAL,9
13,Kris Humphries/2016-17,Kris Humphries,2016-17,31,NBA,56,12.3,6-9,4,689,4.5,11.2,3.6,8.4,1.0,2.8,3.3,4.3,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4,0.407,0.425,0.352,0.451,0.78,0.514,13.6,0.252,0.383,9.7,23.0,16.4,6.4,1.1,2.6,10.1,17.6,108,104,0.6,1.1,1.6,0.115,-3.0,0.3,-2.7,-0.1,0.552413793103,2.67793103448,16.9195402299,13.2528735632,0.172413793103,0.0344827586207,0.965517241379,1.90804597701,2.0,ATL,9
14,Trey Burke/2016-17,Trey Burke,2016-17,24,NBA,57,12.3,6-1,0,703,5.9,13.1,4.4,9.5,1.6,3.6,1.1,1.5,0.4,2.0,2.4,5.1,0.6,0.3,2.5,2.8,14.6,0.455,0.459,0.443,0.516,0.759,0.532,10.8,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,103,114,0.3,0.3,0.5,0.036,-2.3,-3.4,-5.7,-0.7,0.555106382979,2.80574468085,16.2127659574,12.1063829787,0.234042553191,0.0851063829787,0.297872340426,0.521276595745,0.965517241379,WAS,6
15,Cole Aldrich/2015-16,Cole Aldrich,2015-16,27,NBA,60,13.3,6-11,5,800,6.0,10.1,6.0,10.1,0.0,0.0,2.7,3.8,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8,0.596,0.596,,0.596,0.714,0.626,21.3,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,113,94,1.4,2.0,3.5,0.209,-1.0,5.8,4.8,1.4,0.555779816514,2.57669724771,16.3211009174,12.7889908257,0.0550458715596,0.0183486238532,1.29357798165,2.62385321101,2.31147540984,LAC,9
16,Marreese Speights/2015-16,Marreese Speights,2015-16,28,NBA,72,11.6,6-10,0,832,8.5,19.7,7.5,17.0,1.0,2.7,4.1,4.9,3.3,7.0,10.3,2.6,0.8,1.5,2.9,5.1,22.2,0.432,0.439,0.387,0.458,0.825,0.506,17.1,0.136,0.25,10.6,19.8,15.5,11.4,1.1,3.0,11.5,29.7,102,103,0.5,1.2,1.8,0.102,-2.9,-1.1,-3.9,-0.4,0.558220338983,3.14694915254,18.0423728814,11.5423728814,0.161016949153,0.0338983050847,1.07627118644,2.20338983051,1.69333333333,GSW,9
17,Alonzo Gee/2014-15,Alonzo Gee,2014-15,27,NBA,54,12.3,6-6,2,662,4.7,10.1,4.0,8.2,0.7,1.9,2.9,4.2,2.0,3.1,5.1,1.4,1.9,0.4,1.8,3.2,13.1,0.468,0.49,0.371,0.503,0.701,0.548,13.0,0.188,0.414,5.9,9.5,7.7,5.8,2.7,0.8,13.0,16.7,106,107,0.6,0.6,1.2,0.086,-1.3,0.3,-1.0,0.2,0.562441860465,2.81220930233,8.63953488372,5.56976744186,0.0813953488372,0.046511627907,0.209302325581,0.418604651163,0.857142857143,TOT,6
18,Josh Smith/2015-16,Josh Smith,2015-16,30,NBA,55,16.0,6-9,7,880,5.2,14.3,3.5,8.4,1.7,5.9,1.5,2.7,2.1,5.8,7.9,3.7,1.4,1.9,3.2,4.8,13.6,0.364,0.417,0.287,0.423,0.552,0.439,10.6,0.41,0.192,6.4,17.4,11.9,15.9,1.9,4.3,16.9,22.9,88,103,-1.2,1.2,0.0,0.0,-3.6,1.6,-2.0,0.0,0.565096153846,2.19586538462,17.3269230769,12.0961538462,0.192307692308,0.105769230769,0.884615384615,1.94230769231,1.7358490566,TOT,1
19,Charlie Villanueva/2014-15,Charlie Villanueva,2014-15,30,NBA,64,10.6,6-11,1,678,8.0,19.2,3.6,7.5,4.4,11.7,1.1,1.9,1.6,6.3,7.9,1.0,0.8,1.2,1.5,3.4,21.4,0.414,0.475,0.376,0.529,0.571,0.534,17.4,0.61,0.097,4.8,19.3,12.1,4.7,1.1,2.6,6.9,26.7,104,105,0.6,0.7,1.4,0.096,1.2,-3.1,-1.8,0.0,0.58476744186,3.40174418605,15.976744186,10.5930232558,0.0581395348837,0.046511627907,0.837209302326,1.66279069767,1.44,DAL,9
20,Shabazz Napier/2015-16,Shabazz Napier,2015-16,24,NBA,55,10.9,6-1,0,600,4.1,12.1,2.0,5.8,2.0,6.2,2.0,2.7,0.5,2.8,3.3,5.8,1.4,0.1,2.8,2.3,12.2,0.338,0.351,0.327,0.423,0.733,0.46,9.6,0.517,0.224,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,93,109,-0.3,0.4,0.1,0.004,-2.3,-2.6,-4.9,-0.4,0.586315789474,3.27789473684,18.0526315789,13.8421052632,0.355263157895,0.0657894736842,0.197368421053,0.302631578947,0.9375,ORL,10
21,Tomas Satoransky/2016-17,Tomas Satoransky,2016-17,25,NBA,57,12.6,6-7,3,719,3.1,7.3,2.6,5.5,0.5,1.9,1.2,1.7,1.3,2.9,4.2,4.6,1.3,0.3,1.9,3.0,7.7,0.418,0.477,0.243,0.449,0.697,0.48,8.5,0.253,0.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1,102,111,0.1,0.5,0.6,0.041,-2.9,-0.2,-3.1,-0.2,0.586842105263,3.00178947368,13.1368421053,10.2842105263,0.157894736842,0.115789473684,0.494736842105,0.873684210526,1.20512820513,WAS,6
22,Tyler Zeller/2015-16,Tyler Zeller,2015-16,26,NBA,60,11.8,7-0,3,710,7.0,14.7,7.0,14.7,0.0,0.0,4.5,5.5,3.1,5.9,9.0,1.5,0.5,1.1,2.3,4.9,18.5,0.476,0.476,,0.476,0.815,0.539,15.4,0.0,0.372,9.1,17.6,13.3,6.6,0.7,2.4,12.0,23.0,106,105,0.8,0.9,1.7,0.114,-3.2,-1.1,-4.4,-0.4,0.590568181818,3.01159090909,14.1136363636,9.25,0.170454545455,0.0681818181818,1.30681818182,2.44318181818,2.16981132075,BOS,9
23,Kelly Oubre/2015-16,Kelly Oubre,2015-16,20,NBA,63,10.7,6-7,9,671,4.8,11.3,3.5,7.1,1.3,4.2,1.7,2.6,1.3,5.8,7.1,0.7,1.2,0.4,1.8,5.4,12.7,0.427,0.492,0.316,0.486,0.633,0.507,8.2,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,93,106,-0.3,0.7,0.4,0.031,-4.3,-1.6,-5.8,-0.7,0.591463414634,3.25841463415,9.82926829268,6.19512195122,0.121951219512,0.0365853658537,0.463414634146,0.719512195122,1.15151515152,WAS,6
24,Travis Wear/2014-15,Travis Wear,2014-15,24,NBA,51,13.2,6-10,1,672,4.5,11.2,3.9,9.6,0.6,1.6,1.1,1.4,1.7,4.0,5.7,2.1,0.8,0.6,1.9,2.9,10.7,0.402,0.408,0.367,0.428,0.769,0.451,8.5,0.144,0.124,5.2,13.3,9.1,9.9,1.2,1.4,13.7,17.5,90,112,-0.5,0.2,-0.3,-0.02,-4.5,-1.6,-6.1,-0.7,0.591604938272,2.71925925926,13.4691358025,10.0617283951,0.0864197530864,0.0740740740741,0.518518518519,1.12345679012,1.07692307692,NYK,6
25,Cameron Payne/2015-16,Cameron Payne,2015-16,21,NBA,57,12.2,6-3,1,698,5.9,14.3,4.0,8.6,1.9,5.7,1.0,1.2,0.5,3.9,4.4,5.6,1.9,0.3,2.3,4.1,14.6,0.41,0.467,0.324,0.475,0.792,0.49,12.9,0.399,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,104,105,0.6,0.8,1.4,0.093,-0.4,-0.9,-1.3,0.1,0.592947368421,3.12,17.7052631579,13.1263157895,0.221052631579,0.0736842105263,0.326315789474,0.547368421053,1.0,OKC,6
26,Amar'e Stoudemire/2015-16,Amar'e Stoudemire,2015-16,33,NBA,52,14.7,6-10,36,762,5.9,10.4,5.9,10.4,0.0,0.0,2.4,3.2,3.1,7.4,10.5,1.3,0.9,1.9,2.2,4.3,14.2,0.566,0.566,,0.566,0.746,0.599,17.3,0.0,0.303,10.0,22.6,16.5,5.6,1.2,4.1,15.8,17.8,111,101,1.1,1.3,2.4,0.15,-1.7,1.4,-0.4,0.3,0.595638297872,2.58904255319,11.9255319149,8.04255319149,0.0744680851064,0.0106382978723,1.26595744681,2.47872340426,2.05172413793,MIA,9
27,Jeff Withey/2015-16,Jeff Withey,2015-16,25,NBA,51,12.9,7-0,10,658,4.8,8.9,4.8,8.8,0.0,0.1,2.4,3.2,3.1,6.4,9.5,1.1,1.1,2.9,1.5,4.1,11.9,0.537,0.544,0.0,0.537,0.729,0.577,17.7,0.012,0.364,10.0,20.7,15.4,5.0,1.7,6.8,13.0,15.1,115,99,1.1,1.3,2.3,0.171,-2.0,3.7,1.7,0.6,0.598421052632,2.79486842105,15.25,12.0394736842,0.0657894736842,0.0131578947368,1.14473684211,2.64473684211,2.02325581395,UTA,9
28,Joey Dorsey/2014-15,Joey Dorsey,2014-15,31,NBA,69,12.4,6-8,17,854,3.4,6.1,3.4,6.1,0.0,0.0,1.0,3.5,4.3,7.4,11.8,1.1,1.7,1.1,1.7,6.6,7.8,0.552,0.556,0.0,0.552,0.289,0.507,11.1,0.007,0.572,13.3,22.7,18.0,4.4,2.3,2.3,18.4,11.3,103,100,0.4,1.5,1.9,0.108,-3.5,2.1,-1.4,0.1,0.598787878788,3.01919191919,11.696969697,9.19191919192,0.121212121212,0.0505050505051,1.36363636364,2.50505050505,2.28813559322,HOU,9
29,Spencer Hawes/2016-17,Spencer Hawes,2016-17,28,NBA,54,14.8,7-1,1,797,6.1,12.5,4.9,8.9,1.1,3.7,2.0,2.3,1.7,6.9,8.6,3.7,0.7,1.4,2.2,3.5,15.2,0.484,0.556,0.309,0.529,0.846,0.562,15.6,0.292,0.188,5.3,21.5,13.4,16.5,0.9,3.3,14.0,19.8,108,107,0.7,1.0,1.7,0.102,-1.2,0.8,-0.5,0.3,0.609534883721,2.59779069767,15.8255813953,11.5581395349,0.209302325581,0.151162790698,0.906976744186,1.86046511628,1.77272727273,TOT,1
30,Dewayne Dedmon/2015-16,Dewayne Dedmon,2015-16,26,NBA,58,12.2,7-0,20,705,5.1,9.0,5.1,9.0,0.0,0.0,2.9,3.9,3.4,8.2,11.6,0.7,1.1,2.3,1.6,5.6,13.0,0.559,0.559,,0.559,0.75,0.606,17.0,0.0,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,117,102,1.2,1.1,2.4,0.162,-2.6,1.3,-1.3,0.1,0.620740740741,3.01271604938,11.5925925926,8.54320987654,0.0493827160494,0.0,1.24691358025,2.62962962963,2.10416666667,ORL,9
31,Derrick Williams/2016-17,Derrick Williams,2016-17,25,NBA,50,16.1,6-8,11,804,4.8,10.9,3.5,6.6,1.3,4.3,2.6,4.0,0.9,5.0,5.8,1.3,0.6,0.3,1.3,2.7,13.6,0.443,0.531,0.309,0.504,0.652,0.537,10.6,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,106,111,0.4,0.6,1.1,0.064,-2.4,-1.8,-4.2,-0.4,0.625656565657,2.50373737374,13.6868686869,9.91919191919,0.10101010101,0.030303030303,0.505050505051,0.808080808081,1.28205128205,TOT,6
32,Kyle O'Quinn/2015-16,Kyle O'Quinn,2015-16,25,NBA,65,11.8,6-10,1,764,6.1,12.8,5.8,11.7,0.2,1.0,2.2,2.8,3.6,8.2,11.8,3.4,0.9,2.3,2.9,5.0,14.6,0.476,0.498,0.227,0.485,0.767,0.52,17.5,0.081,0.221,11.0,24.5,17.9,15.9,1.3,4.9,17.0,21.2,102,102,0.5,1.2,1.6,0.103,-1.8,2.5,0.7,0.5,0.630375,3.259125,22.1625,17.2625,0.1625,0.1,1.425,2.975,2.07272727273,NYK,4
33,Richaun Holmes/2015-16,Richaun Holmes,2015-16,22,NBA,51,13.8,6-10,1,702,5.8,11.4,5.4,9.1,0.4,2.3,2.6,3.8,3.2,3.7,6.9,1.7,1.0,2.1,1.6,4.7,14.7,0.514,0.596,0.182,0.532,0.689,0.564,15.9,0.198,0.333,9.3,11.7,10.5,8.0,1.3,4.3,11.2,17.9,111,109,1.0,0.5,1.5,0.103,-1.0,0.0,-0.9,0.2,0.635679012346,2.72061728395,14.5061728395,10.5061728395,0.037037037037,0.0123456790123,1.02469135802,2.20987654321,1.62745098039,PHI,6
34,Allen Crabbe/2014-15,Allen Crabbe,2014-15,22,NBA,51,13.4,6-6,9,683,3.3,8.1,1.7,3.6,1.6,4.5,0.6,0.8,0.4,3.5,3.8,2.1,1.0,0.8,0.8,3.9,8.9,0.412,0.485,0.353,0.51,0.75,0.525,8.7,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,108,105,0.5,0.8,1.3,0.088,-1.3,1.0,-0.3,0.3,0.642839506173,2.75296296296,10.3703703704,7.88888888889,0.0864197530864,0.0123456790123,0.283950617284,0.58024691358,1.0,POR,6
35,Tyus Jones/2016-17,Tyus Jones,2016-17,20,NBA,60,12.9,6-2,0,774,3.5,8.4,2.3,5.0,1.2,3.4,1.5,2.0,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7,0.414,0.454,0.356,0.486,0.767,0.523,13.8,0.403,0.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,114,111,1.0,0.6,1.5,0.095,-0.4,-1.5,-1.9,0.0,0.659156626506,2.9213253012,18.313253012,14.7590361446,0.349397590361,0.204819277108,0.253012048193,0.289156626506,1.05,MIN,6
36,James Jones/2014-15,James Jones,2014-15,34,NBA,57,11.7,6-8,2,669,4.0,10.8,0.6,1.4,3.4,9.4,2.1,2.5,0.5,2.9,3.3,1.3,0.7,0.4,0.7,3.6,13.5,0.368,0.423,0.36,0.525,0.848,0.565,11.1,0.871,0.229,1.6,9.0,5.3,5.4,1.0,0.9,5.5,15.8,117,110,1.2,0.4,1.5,0.11,1.4,-2.8,-1.4,0.1,0.664077669903,3.0945631068,13.2621359223,9.91262135922,0.0776699029126,0.0679611650485,0.699029126214,1.14563106796,1.41176470588,CLE,6
37,Jon Leuer/2014-15,Jon Leuer,2014-15,25,NBA,63,13.1,6-10,6,824,5.3,11.9,5.0,10.7,0.3,1.3,1.6,2.6,2.2,6.9,9.0,2.0,0.7,0.4,1.5,3.8,12.5,0.443,0.467,0.241,0.456,0.627,0.478,11.9,0.106,0.216,7.0,21.7,14.3,8.8,1.1,0.9,10.5,18.6,99,102,0.2,1.2,1.3,0.078,-3.1,0.0,-3.1,-0.2,0.665,3.2075,15.8043478261,11.6630434783,0.163043478261,0.0434782608696,0.934782608696,1.70652173913,1.72,MEM,9
38,Andrew Nicholson/2015-16,Andrew Nicholson,2015-16,26,NBA,56,14.7,6-9,0,823,6.4,13.6,4.6,8.6,1.8,5.0,2.2,2.8,1.5,7.3,8.8,1.1,0.4,1.0,1.8,3.0,16.8,0.471,0.536,0.36,0.537,0.785,0.567,14.8,0.368,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,106,107,0.8,0.8,1.6,0.092,-1.7,-2.0,-3.7,-0.4,0.667469879518,2.67108433735,14.6746987952,9.74698795181,0.0843373493976,0.0120481927711,1.07228915663,1.93975903614,2.11904761905,ORL,9
39,Justin Anderson/2015-16,Justin Anderson,2015-16,22,NBA,55,11.8,6-6,9,647,4.0,9.7,2.7,5.1,1.2,4.6,2.4,3.1,1.0,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6,0.406,0.533,0.265,0.469,0.8,0.522,12.3,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,103,104,0.3,0.8,1.1,0.083,-2.5,1.3,-1.2,0.1,0.680512820513,3.36717948718,14.5769230769,10.6538461538,0.102564102564,0.0769230769231,0.358974358974,0.653846153846,0.903225806452,DAL,9
40,Wesley Johnson/2016-17,Wesley Johnson,2016-17,29,NBA,68,11.9,6-7,3,810,3.2,8.9,2.0,3.6,1.3,5.2,0.5,0.8,1.2,6.9,8.0,1.0,1.3,1.3,0.8,3.7,8.3,0.365,0.537,0.246,0.438,0.647,0.448,8.4,0.59,0.085,3.7,20.8,12.5,3.9,1.8,3.0,8.0,12.5,94,105,-0.3,1.2,0.9,0.051,-3.4,1.6,-1.8,0.0,0.680843373494,3.49927710843,15.313253012,12.2168674699,0.10843373494,0.0,0.771084337349,1.43373493976,1.23076923077,LAC,9
41,Anthony Morrow/2015-16,Anthony Morrow,2015-16,30,NBA,68,13.6,6-5,6,926,5.3,12.9,2.2,5.0,3.1,7.9,1.1,1.5,0.4,2.0,2.4,0.9,0.9,0.2,0.7,2.5,14.8,0.408,0.442,0.387,0.527,0.744,0.543,10.7,0.613,0.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,114,110,1.4,0.5,1.9,0.097,0.5,-3.2,-2.7,-0.2,0.69612244898,3.29285714286,9.0,4.84693877551,0.0408163265306,0.030612244898,0.357142857143,0.673469387755,0.813953488372,OKC,6
42,Dewayne Dedmon/2014-15,Dewayne Dedmon,2014-15,25,NBA,59,14.3,7-0,15,845,3.9,6.9,3.9,6.9,0.0,0.0,1.4,2.7,5.0,7.5,12.6,0.4,0.7,2.1,2.2,6.0,9.2,0.562,0.565,0.0,0.562,0.531,0.568,13.3,0.006,0.395,15.5,24.1,19.7,1.6,1.0,4.8,21.1,13.0,107,104,0.7,1.0,1.7,0.099,-3.6,0.3,-3.3,-0.3,0.696125,2.925125,11.1625,7.975,0.0625,0.0125,1.0375,2.3875,1.62745098039,ORL,9
43,Paul Pierce/2015-16,Paul Pierce,2015-16,38,NBA,68,18.1,6-7,38,1231,4.2,11.6,2.0,4.5,2.2,7.1,1.6,1.9,0.4,5.1,5.4,2.1,1.0,0.5,1.7,3.8,12.2,0.363,0.445,0.31,0.457,0.818,0.489,8.2,0.61,0.166,1.1,15.2,8.2,8.5,1.3,1.1,12.0,17.8,93,105,-0.6,1.4,0.9,0.033,-2.5,-0.3,-2.8,-0.3,0.698608695652,2.37904347826,16.9739130435,11.9130434783,0.147826086957,0.0608695652174,0.695652173913,1.40869565217,1.33333333333,LAC,6
44,Steve Blake/2015-16,Steve Blake,2015-16,35,NBA,58,17.0,6-3,2,986,3.4,8.8,1.5,3.2,1.9,5.5,0.6,0.7,0.3,2.9,3.2,7.3,0.9,0.2,3.0,2.6,9.3,0.388,0.461,0.344,0.496,0.8,0.51,9.8,0.629,0.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,101,108,0.3,0.8,1.1,0.053,-1.8,-1.8,-3.5,-0.4,0.703333333333,2.52472222222,24.6203703704,19.8148148148,0.5,0.277777777778,0.351851851852,0.583333333333,1.02702702703,DET,10
45,Ben Gordon/2014-15,Ben Gordon,2014-15,31,NBA,56,14.1,6-3,0,790,5.9,13.4,4.3,9.0,1.6,4.4,2.6,3.1,0.3,2.6,2.9,2.3,0.6,0.0,2.5,2.7,15.9,0.437,0.475,0.361,0.497,0.836,0.538,10.6,0.329,0.227,0.8,8.3,4.5,10.3,0.9,0.1,14.5,21.8,98,112,0.1,0.2,0.3,0.015,-2.5,-3.6,-6.1,-0.8,0.706842105263,3.01907894737,12.8157894737,6.96052631579,0.210526315789,0.0526315789474,0.25,0.368421052632,0.95,ORL,6
