Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
1,Arron Afflalo\afflaar01,2013-14,28,ORL,NBA,73,35.0,.574,73,2552,6.5,14.3,4.7,10.0,1.8,4.2,3.9,4.7,0.5,3.2,3.7,3.5,0.5,0.0,2.1,1.9,18.8,.459,.473,.427,.522,.815
2,Alexis Ajinca\ajincal01,2013-14,25,NOP,NBA,56,17.0,.589,30,951,5.1,9.4,5.1,9.4,0.0,0.0,2.1,2.5,3.6,6.9,10.5,1.5,0.9,1.7,2.4,7.1,12.4,.546,.548,.000,.546,.836
3,Ray Allen\allenra02,2013-14,38,MIA,NBA,73,26.5,.590,9,1936,4.5,10.1,2.3,4.4,2.2,5.7,2.0,2.2,0.4,3.4,3.8,2.7,1.0,0.1,1.6,2.1,13.0,.442,.530,.375,.549,.905
4,Chris Andersen\anderch01,2013-14,35,MIA,NBA,72,19.4,.683,0,1396,4.6,7.1,4.5,6.8,0.1,0.3,3.1,4.4,3.3,6.4,9.8,0.5,0.8,2.5,1.4,4.2,12.3,.644,.662,.250,.649,.710
5,Carmelo Anthony\anthoca01,2013-14,29,NYK,NBA,77,38.7,.561,77,2982,9.0,19.8,7.0,14.8,2.0,5.0,5.5,6.5,1.8,5.8,7.5,2.9,1.1,0.6,2.4,2.7,25.5,.452,.469,.402,.503,.848
6,Trevor Ariza\arizatr01,2013-14,28,WAS,NBA,77,35.4,.590,77,2723,5.1,11.3,2.8,5.4,2.4,5.8,2.0,2.6,1.3,5.0,6.3,2.5,1.7,0.3,1.7,2.4,14.6,.456,.509,.407,.562,.772
7,D.J. Augustin\augusdj01,2013-14,26,TOT,NBA,71,27.3,.569,9,1939,5.5,13.3,3.1,7.2,2.5,6.2,3.7,4.2,0.3,2.1,2.4,5.8,1.0,0.1,2.3,2.7,17.3,.415,.427,.401,.508,.885
8,Jeff Ayres\pendeje02,2013-14,26,SAS,NBA,73,13.0,.605,10,952,3.8,6.6,3.8,6.6,0.0,0.0,1.4,2.1,3.4,6.4,9.8,2.3,0.5,0.9,2.4,5.5,9.1,.580,.580,,.580,.691
9,Nicolas Batum\batumni01,2013-14,25,POR,NBA,82,36.0,.589,82,2956,4.6,10.0,2.9,5.1,1.8,4.9,2.0,2.5,1.4,6.0,7.4,5.1,0.9,0.7,2.5,1.9,13.0,.465,.566,.361,.554,.803
10,Michael Beasley\beaslmi01,2013-14,25,MIA,NBA,55,15.1,.559,2,831,7.7,15.4,6.8,13.0,0.9,2.3,2.6,3.4,1.3,6.1,7.5,1.8,1.0,0.9,2.5,4.0,18.9,.499,.518,.389,.528,.772
11,Marco Belinelli\belinma01,2013-14,27,SAS,NBA,80,25.2,.605,25,2016,6.0,12.4,3.8,7.2,2.3,5.2,2.0,2.3,0.3,3.7,4.0,3.2,0.9,0.1,1.7,2.3,16.3,.485,.525,.430,.576,.847
12,Bismack Biyombo\biyombi01,2013-14,21,CHA,NBA,77,13.9,.606,9,1072,3.0,4.8,3.0,4.8,0.0,0.0,1.5,3.0,3.5,8.8,12.3,0.3,0.2,2.9,1.3,4.2,7.5,.611,.611,,.611,.517
13,DeJuan Blair\blairde01,2013-14,24,DAL,NBA,78,15.6,.557,13,1214,6.2,11.7,6.2,11.6,0.0,0.1,2.3,3.6,4.1,6.8,10.9,2.1,1.8,0.6,2.3,5.7,14.7,.534,.537,.000,.534,.636
14,Andrew Bogut\bogutan01,2013-14,29,GSW,NBA,67,26.4,.610,67,1769,4.8,7.6,4.8,7.6,0.0,0.0,0.4,1.3,3.7,10.0,13.7,2.3,1.0,2.5,2.0,4.3,10.0,.627,.627,,.627,.344
15,Matt Bonner\bonnema01,2013-14,33,SAS,NBA,61,11.3,.582,0,690,3.8,8.6,1.6,3.4,2.2,5.1,0.5,0.6,0.8,5.9,6.8,1.6,0.8,0.6,0.8,2.6,10.3,.445,.470,.429,.573,.750
16,Trevor Booker\booketr01,2013-14,26,WAS,NBA,72,21.6,.563,45,1553,5.1,9.3,5.1,9.3,0.0,0.0,1.1,1.8,3.5,5.3,8.8,1.5,1.0,1.0,1.3,3.0,11.4,.551,.554,.000,.551,.618
17,Chris Bosh\boshch01,2013-14,29,MIA,NBA,79,32.0,.597,79,2531,7.0,13.6,5.9,10.5,1.1,3.1,3.2,3.9,1.4,6.0,7.4,1.2,1.1,1.1,1.8,2.7,18.2,.516,.569,.339,.555,.820
