Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alexis Ajinca\ajincal01,2014-15,26,NOP,NBA,68,14.1,.595,8,957,19.9,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,113,103,1.9,1.2,3.2,.159,-0.5,0.6,0.2,0.5
2,Chris Andersen\anderch01,2014-15,36,MIA,NBA,60,18.9,.622,20,1132,16.1,.063,.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,121,103,2.1,1.5,3.6,.151,-1.2,2.3,1.0,0.9
3,Alan Anderson\anderal01,2014-15,32,BRK,NBA,74,23.6,.563,19,1744,10.6,.477,.230,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,109,109,1.7,1.1,2.7,.075,0.0,-0.5,-0.5,0.6
4,Giannis Antetokounmpo\antetgi01,2014-15,20,MIL,NBA,81,31.4,.552,71,2541,14.8,.056,.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,105,101,2.2,4.0,6.2,.117,-1.7,2.1,0.5,1.6
5,Luke Babbitt\babbilu01,2014-15,25,NOP,NBA,63,13.2,.639,19,830,11.1,.599,.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,117,110,1.1,0.5,1.6,.092,0.0,-1.4,-1.4,0.1
6,Leandro Barbosa\barbole01,2014-15,32,GSW,NBA,66,14.9,.558,1,982,15.3,.290,.192,2.6,7.2,5.0,14.9,2.0,0.6,9.5,20.5,111,104,1.6,1.2,2.8,.137,0.4,-1.2,-0.8,0.3
7,Harrison Barnes\barneha02,2014-15,22,GSW,NBA,82,28.3,.573,82,2318,13.4,.328,.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,116,104,3.7,3.0,6.7,.139,0.5,0.6,1.1,1.8
8,Matt Barnes\barnema02,2014-15,34,LAC,NBA,76,29.9,.574,74,2271,11.3,.603,.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,108,107,2.2,2.1,4.3,.091,0.9,0.7,1.6,2.1
9,Brandon Bass\bassbr01,2014-15,29,BOS,NBA,82,23.5,.557,43,1929,16.3,.047,.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,112,106,3.4,1.9,5.3,.132,-0.4,-0.1,-0.5,0.7
10,Aron Baynes\baynear01,2014-15,28,SAS,NBA,70,16.0,.618,17,1122,15.9,.012,.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,116,103,2.3,1.6,3.9,.166,-0.7,-0.2,-1.0,0.3
11,Marco Belinelli\belinma01,2014-15,28,SAS,NBA,62,22.4,.553,9,1388,12.4,.489,.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,107,106,1.5,1.4,2.9,.100,0.6,-1.1,-0.5,0.5
12,Bismack Biyombo\biyombi01,2014-15,22,CHO,NBA,64,19.4,.578,21,1243,15.2,.000,.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,115,99,1.8,2.2,4.0,.156,-3.2,2.8,-0.4,0.5
13,Tarik Black\blackta01,2014-15,23,TOT,NBA,63,19.0,.583,39,1196,14.7,.004,.432,12.8,21.4,17.0,5.6,0.8,1.6,12.9,13.8,118,108,2.2,0.9,3.1,.124,-1.0,-0.6,-1.6,0.1
14,Eric Bledsoe\bledser01,2014-15,25,PHO,NBA,81,34.6,.555,81,2800,18.4,.260,.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,107,106,4.1,2.9,7.0,.119,1.7,0.9,2.6,3.3
15,Bojan Bogdanovic\bogdabo02,2014-15,25,BRK,NBA,78,23.8,.562,28,1854,11.6,.444,.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,106,111,1.7,0.7,2.4,.062,0.0,-1.9,-1.8,0.1
16,Andrew Bogut\bogutan01,2014-15,30,GSW,NBA,67,23.6,.565,65,1583,15.8,.000,.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,110,97,1.9,3.4,5.2,.159,-1.4,5.5,4.1,2.4
17,Jimmy Butler\butleji01,2014-15,25,CHI,NBA,65,38.7,.583,65,2513,21.3,.212,.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,122,104,8.2,3.0,11.2,.214,4.1,0.6,4.7,4.2
18,DeMarre Carroll\carrode01,2014-15,28,ATL,NBA,70,31.3,.603,69,2189,15.9,.466,.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117,104,4.3,2.8,7.0,.154,2.4,0.5,2.9,2.7
19,Omri Casspi\casspom01,2014-15,26,SAC,NBA,67,21.1,.580,19,1416,14.4,.204,.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,110,110,2.0,0.6,2.7,.091,0.0,-1.3,-1.3,0.3
20,Tyson Chandler\chandty01,2014-15,32,DAL,NBA,75,30.5,.697,75,2286,20.1,.000,.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,133,103,7.2,3.1,10.3,.216,1.9,2.3,4.2,3.6
