Player,Season_x,Age_x,Tm_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Aaron Brooks,2014-15,30,CHI,NBA,82,23.0,6-0,21,1885,6.6,15.6,4.3,9.6,2.3,6.0,2.8,3.3,0.6,2.6,3.2,5.0,1.0,0.3,3.0,3.6,18.2,0.421,0.442,0.387,0.495,0.833,0.534,14.4,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25.0,103,107,1.7,1.5,3.3,0.083,1.0,-2.4,-1.4,0.3,1.46168421053,4.13505263158,49.4421052632,35.6526315789,1.0,0.378947368421,0.463157894737,0.810526315789,0.977777777778
Al Horford,2014-15,28,ATL,NBA,76,30.5,6-10,76,2318,8.1,15.0,7.9,14.4,0.2,0.6,1.7,2.2,2.0,6.4,8.4,3.8,1.1,1.5,1.6,1.9,18.0,0.538,0.547,0.306,0.544,0.759,0.563,21.4,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,114,102,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4,1.9287755102,3.75,55.5102040816,40.2142857143,0.744897959184,0.265306122449,3.4693877551,6.97959183673,3.65591397849
Al Jefferson,2014-15,30,CHO,NBA,65,30.6,6-10,61,1992,8.8,18.3,8.7,18.2,0.0,0.1,2.0,3.0,1.8,8.1,9.9,2.0,0.8,1.5,1.2,2.5,19.6,0.481,0.482,0.4,0.482,0.655,0.5,19.7,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,101,100,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1,1.72194444444,3.36902777778,40.3888888889,23.3611111111,0.458333333333,0.208333333333,3.56944444444,6.56944444444,3.95384615385
AlFarouq Aminu,2014-15,24,DAL,NBA,74,18.5,6-9,3,1366,3.9,9.4,3.0,6.1,0.9,3.3,2.2,3.1,3.0,6.0,9.0,1.6,1.8,1.6,1.4,3.6,10.9,0.412,0.485,0.274,0.459,0.712,0.504,14.4,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,107,102,1.2,2.0,3.3,0.115,-0.5,2.9,2.4,1.5,1.34105882353,4.17282352941,24.7411764706,17.8470588235,0.223529411765,0.0705882352941,1.23529411765,2.8,1.59090909091
Alan Anderson,2014-15,32,BRK,NBA,74,23.6,6-6,19,1744,4.0,9.1,2.5,4.7,1.5,4.3,1.7,2.1,0.6,3.6,4.2,1.7,1.2,0.1,1.2,3.1,11.3,0.443,0.53,0.348,0.526,0.812,0.563,10.6,0.477,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,109,109,1.7,1.1,2.7,0.075,0.0,-0.5,-0.5,0.6,1.45125,3.68340909091,23.8068181818,16.0795454545,0.238636363636,0.25,0.818181818182,1.42045454545,1.09090909091
Alex Len,2014-15,21,PHO,NBA,69,22.0,7-1,44,1518,4.2,8.4,4.2,8.3,0.0,0.1,1.7,2.5,3.4,7.4,10.8,0.8,0.8,2.5,1.8,5.1,10.2,0.507,0.509,0.333,0.508,0.702,0.542,13.5,0.008,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,107,103,1.2,2.1,3.4,0.107,-3.3,2.3,-1.0,0.4,1.2815,3.502,27.2875,20.8,0.2,0.05,3.2875,6.7,3.8115942029
Alexis Ajinca,2014-15,26,NOP,NBA,68,14.1,7-2,8,957,6.8,12.4,6.8,12.4,0.0,0.0,3.0,3.7,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7,0.55,0.55,,0.55,0.818,0.595,19.9,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,113,103,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,0.736511627907,3.255,16.8023255814,11.0348837209,0.104651162791,0.0348837209302,2.03488372093,3.87209302326,2.734375
Allen Crabbe,2014-15,22,POR,NBA,51,13.4,6-6,9,683,3.3,8.1,1.7,3.6,1.6,4.5,0.6,0.8,0.4,3.5,3.8,2.1,1.0,0.8,0.8,3.9,8.9,0.412,0.485,0.353,0.51,0.75,0.525,8.7,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,108,105,0.5,0.8,1.3,0.088,-1.3,1.0,-0.3,0.3,0.642839506173,2.75296296296,10.3703703704,7.88888888889,0.0864197530864,0.0123456790123,0.283950617284,0.58024691358,1.0
Alonzo Gee,2014-15,27,TOT,NBA,54,12.3,6-6,2,662,4.7,10.1,4.0,8.2,0.7,1.9,2.9,4.2,2.0,3.1,5.1,1.4,1.9,0.4,1.8,3.2,13.1,0.468,0.49,0.371,0.503,0.701,0.548,13.0,0.188,0.414,5.9,9.5,7.7,5.8,2.7,0.8,13.0,16.7,106,107,0.6,0.6,1.2,0.086,-1.3,0.3,-1.0,0.2,0.562441860465,2.81220930233,8.63953488372,5.56976744186,0.0813953488372,0.046511627907,0.209302325581,0.418604651163,0.857142857143
Amar'e Stoudemire,2014-15,32,TOT,NBA,59,21.1,6-10,15,1245,7.9,14.2,7.9,14.1,0.0,0.1,3.9,5.4,3.2,6.3,9.5,1.3,0.8,1.1,2.3,4.7,19.7,0.557,0.562,0.0,0.557,0.72,0.595,20.3,0.008,0.38,9.9,20.5,15.1,6.8,1.2,2.5,12.0,23.8,112,107,2.6,1.0,3.6,0.138,-0.2,-1.3,-1.4,0.2,1.12413333333,3.24173333333,28.92,18.4533333333,0.173333333333,0.04,2.57333333333,4.94666666667,3.06349206349
