,player,id
1,Pau Gasol,2200
5,George Hill,201588
7,Derrick Williams,202682
8,Randy Foye,200751
14,Draymond Green,203110
15,Kyle Lowry,200768
18,Raymond Felton,101109
21,Thaddeus Young,201152
25,Kevin Love,201567
28,Nikola Vucevic,202696
29,Aaron Brooks,201166
30,Larry Nance,1626204
40,Jared Sullinger,203096
41,Paul Millsap,200794
42,Avery Bradley,202340
44,Joe Johnson,2207
45,Will Barton,203115
46,Nik Stauskas,203917
47,Devin Booker,1626164
48,Jerami Grant,203924
51,DeMarcus Cousins,202326
53,Trey Burke,203504
55,Julius Randle,203944
57,Marc Gasol,201188
60,Tony Parker,2225
61,PJ Hairston,203798
62,Richaun Holmes,1626158
64,LeBron James,2544
66,Brook Lopez,201572
68,Damian Lillard,203081
69,Zach Randolph,2216
74,Enes Kanter,202683
75,Ty Lawson,201951
77,Langston Galloway,204038
78,Wesley Matthews,202083
91,Mario Chalmers,201596
94,Mirza Teletovic,203141
95,Sasha Vujacic,2756
99,Justise Winslow,1626159
111,AlFarouq Aminu,202329
113,Al Horford,201143
120,Kyle O'Quinn,203124
122,James Johnson,201949
124,Amir Johnson,101161
125,Jonathon Simmons,203613
133,Jeff Withey,203481
141,Ersan Ilyasova,101141
144,Noah Vonleh,203943
147,JR Smith,2747
148,Jason Smith,201160
150,Brandon Rush,201575
151,Manu Ginobili,1938
152,Reggie Jackson,202704
156,Leandro Barbosa,2571
157,Courtney Lee,201584
160,Luol Deng,2736
162,Jordan Hill,201941
169,Zaza Pachulia,2585
170,Josh Smith,2746
177,Jamal Crawford,2037
178,Joe Ingles,204060
185,Frank Kaminsky,1626163
192,Khris Middleton,203114
195,Kobe Bryant,977
197,Jon Leuer,202720
198,Kentavious CaldwellPope,203484
203,Maurice Harkless,203090
205,DeAndre Jordan,201599
208,Jordan Clarkson,203903
209,Goran Dragic,201609
214,Stephen Curry,201939
216,David Lee,101135
217,Kevin Martin,2755
219,Miles Plumlee,203101
223,Josh Richardson,1626196
224,Tim Hardaway,203501
226,Isaiah Thomas,202738
227,Wesley Johnson,202325
228,Kelly Olynyk,203482
229,Steven Adams,203500
231,TJ McConnell,204456
234,David West,2561
239,Pablo Prigioni,203143
242,Rajon Rondo,200765
249,Kyle Singler,202713
251,LaMarcus Aldridge,200746
254,Rodney Stuckey,201155
257,Omri Casspi,201956
258,Nene Hilario,2403
260,Chris Paul,101108
261,Marcus Smart,203935
264,Jeremy Lamb,203087
267,Kemba Walker,202689
269,Channing Frye,101112
270,JJ Barea,200826
278,Mike Conley,201144
282,Marcus Thornton,201977
286,Jeff Teague,201952
291,Evan Turner,202323
293,Trevor Ariza,2772
295,Cameron Payne,1626166
297,Cory Joseph,202709
298,Monta Ellis,101145
302,Lavoy Allen,202730
303,Zach LaVine,203897
304,Mike Scott,203118
306,Shelvin Mack,202714
307,Jeff Green,201145
308,Donald Sloan,202388
309,Gorgui Dieng,203476
311,Roy Hibbert,201579
314,Meyers Leonard,203086
317,Tony Allen,2754
323,James Harden,201935
324,Kevin Durant,201142
328,Danilo Gallinari,201568
332,Chris Johnson,203187
337,Michael CarterWilliams,203487
338,D'Angelo Russell,1626156
339,Austin Rivers,203085
340,Nick Collison,2555
342,Corey Brewer,201147
346,Kyrie Irving,202681
348,Darrell Arthur,201589
354,Jason Terry,1891
357,Thomas Robinson,203080
358,Rudy Gobert,203497
364,Hollis Thompson,203138
365,Kenneth Faried,202702
368,Shaun Livingston,2733
370,Vince Carter,1713
372,Bradley Beal,203078
376,Jose Calderon,101181
381,Andrew Wiggins,203952
386,Jabari Parker,203953
387,CJ McCollum,203468
391,Dewayne Dedmon,203473
393,Nick Young,201156
400,Kosta Koufos,201585
