Rk,Player,Season,Age,Tm,Lg,G,MP,Ht,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Steven Adams\adamsst01,2016-17,23,OKC,NBA,80,29.9,7-0,80,2389,5.6,9.9,5.6,9.9,0.0,0.0,2.4,3.9,4.2,5.0,9.3,1.3,1.3,1.2,2.2,2.9,13.6,.571,.572,.000,.571,.611,.589
2,LaMarcus Aldridge\aldrila01,2016-17,31,SAS,NBA,72,32.4,6-11,72,2335,7.7,16.2,7.4,15.3,0.4,0.9,3.4,4.2,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,.477,.480,.411,.488,.812,.532
3,Lavoy Allen\allenla01,2016-17,27,IND,NBA,61,14.3,6-9,5,871,3.2,6.9,3.2,6.9,0.0,0.0,1.0,1.4,4.3,4.8,9.1,2.4,0.7,1.0,1.2,3.2,7.3,.458,.461,.000,.458,.697,.485
4,Al-Farouq Aminu\aminual01,2016-17,26,POR,NBA,61,29.1,6-9,25,1773,3.7,9.5,2.3,5.2,1.4,4.3,1.9,2.8,1.6,7.6,9.2,2.0,1.2,0.9,1.9,2.1,10.8,.393,.445,.330,.468,.706,.506
5,Kyle Anderson\anderky01,2016-17,23,SAS,NBA,72,14.2,6-9,14,1020,3.3,7.4,2.8,6.0,0.5,1.4,1.6,2.0,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7,.445,.462,.375,.481,.789,.525
6,Ryan Anderson\anderry01,2016-17,28,HOU,NBA,72,29.4,6-10,72,2116,5.5,13.2,2.0,4.5,3.5,8.6,2.2,2.6,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7,.418,.446,.403,.550,.860,.583
7,Giannis Antetokounmpo\antetgi01,2016-17,22,MIL,NBA,80,35.6,6-11,80,2845,8.3,15.9,7.7,13.7,0.6,2.3,6.0,7.7,1.8,7.1,8.9,5.5,1.7,1.9,3.0,3.1,23.2,.521,.563,.272,.541,.770,.599
8,Luke Babbitt\babbilu01,2016-17,27,MIA,NBA,68,15.7,6-9,55,1065,3.8,9.5,0.9,2.4,2.9,7.1,0.4,0.5,0.4,4.4,4.8,1.2,0.7,0.4,0.8,4.0,11.0,.402,.366,.414,.557,.733,.563
9,Aron Baynes\baynear01,2016-17,30,DET,NBA,75,15.5,6-10,2,1163,4.4,8.6,4.4,8.6,0.0,0.0,2.4,2.9,3.4,6.9,10.3,1.0,0.5,1.2,1.5,5.1,11.3,.513,.513,,.513,.840,.570
10,Michael Beasley\beaslmi01,2016-17,28,MIL,NBA,56,16.7,6-9,6,935,8.3,15.6,7.6,14.0,0.7,1.7,3.0,4.0,1.5,5.9,7.4,2.0,1.1,1.0,2.5,3.5,20.3,.532,.545,.419,.554,.743,.584
11,Davis Bertans\bertada01,2016-17,24,SAS,NBA,67,12.1,6-10,6,808,4.6,10.4,1.5,2.7,3.1,7.7,1.2,1.5,1.0,3.4,4.4,2.0,0.9,1.2,1.4,3.3,13.5,.440,.557,.399,.588,.824,.609
12,Bismack Biyombo\biyombi01,2016-17,24,ORL,NBA,81,22.1,6-9,27,1793,3.6,6.8,3.6,6.8,0.0,0.0,2.5,4.7,3.2,8.2,11.4,1.5,0.5,1.8,1.9,4.1,9.7,.528,.528,,.528,.534,.546
