,cfga,cfgm,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Pau Gasol,4.716049382716049,2.345679012345679,1.5929629629629636,3.8913580246913586,50.91358024691358,38.45679012345679,0.38271604938271603,0.24691358024691357,2.9753086419753085,6.2592592592592595,3.2567567567567566
Derrick Williams,1.202020202020202,0.5555555555555556,0.6256565656565658,2.5037373737373736,13.686868686868687,9.919191919191919,0.10101010101010101,0.030303030303030304,0.5050505050505051,0.8080808080808081,1.2820512820512822
Randy Foye,1.5657894736842106,0.5657894736842105,1.1380263157894737,3.6680263157894726,27.31578947368421,20.61842105263158,0.3684210526315789,0.18421052631578946,0.75,1.1710526315789473,1.1875
Tyler Ulis,1.9382716049382716,0.7654320987654321,0.9833333333333331,3.2598765432098773,32.0,24.28395061728395,0.5308641975308642,0.30864197530864196,0.2962962962962963,0.5802469135802469,0.8571428571428571
Draymond Green,4.08421052631579,1.8421052631578947,2.0447368421052627,3.7350526315789483,72.67368421052632,58.6,1.305263157894737,0.5473684210526316,3.0,6.873684210526315,3.1666666666666665
Kyle Lowry,7.869565217391305,3.5072463768115942,2.331304347826087,3.7939130434782604,78.98550724637681,56.492753623188406,1.173913043478261,0.8840579710144928,1.4057971014492754,2.4782608695652173,1.7321428571428572
Raymond Felton,3.1363636363636362,1.4204545454545454,1.4494318181818182,4.136136363636366,39.75,31.045454545454547,0.6590909090909091,0.19318181818181818,0.8295454545454546,1.3977272727272727,1.1967213114754098
Thaddeus Young,6.077922077922078,3.311688311688312,2.1102597402597407,4.182077922077921,49.22077922077922,36.94805194805195,0.5454545454545454,0.22077922077922077,2.0,3.3766233766233764,2.298507462686567
Kevin Love,5.517647058823529,2.364705882352941,1.8724705882352943,3.59,53.23529411764706,35.31764705882353,0.4823529411764706,0.058823529411764705,2.8,5.211764705882353,3.2162162162162162
Nikola Vucevic,6.772151898734177,3.367088607594937,1.7799999999999998,3.709113924050632,61.65822784810127,44.822784810126585,0.4810126582278481,0.21518987341772153,3.8860759493670884,7.151898734177215,4.205479452054795
Aaron Brooks,2.0609756097560976,0.8048780487804879,0.7308536585365855,3.195731707317073,21.4390243902439,16.036585365853657,0.2804878048780488,0.13414634146341464,0.35365853658536583,0.5365853658536586,0.8529411764705882
Larry Nance,2.6363636363636362,1.4848484848484849,1.5587878787878793,4.145606060606059,34.74242424242424,26.848484848484848,0.4090909090909091,0.18181818181818182,1.893939393939394,3.196969696969697,2.232142857142857
Andrew Harrison,1.744186046511628,0.5813953488372093,1.1563953488372096,3.5167441860465103,38.19767441860465,29.627906976744185,0.7558139534883721,0.2558139534883721,0.6395348837209303,1.1046511627906976,1.25
Paul Millsap,7.545454545454546,3.6103896103896105,2.2219480519480523,3.913116883116884,62.4025974025974,41.77922077922078,0.5194805194805194,0.3116883116883117,3.6493506493506493,6.883116883116883,3.9027777777777777
Avery Bradley,6.8493150684931505,3.0684931506849313,2.3013698630136985,4.09808219178082,48.465753424657535,30.616438356164384,0.8082191780821918,0.2602739726027397,1.5753424657534247,2.547945205479452,1.8852459016393444
Joe Johnson,4.066666666666666,1.7444444444444445,1.5442222222222222,3.8090000000000015,35.544444444444444,25.31111111111111,0.5222222222222223,0.15555555555555556,0.7333333333333333,1.4111111111111112,1.1785714285714286
Will Barton,5.815384615384615,2.6615384615384614,1.7678461538461538,3.6896923076923094,41.93846153846154,27.6,0.6153846153846154,0.16923076923076924,1.2,2.1076923076923078,1.56
Nik Stauskas,3.231707317073171,1.2195121951219512,1.9943902439024386,4.380731707317072,41.5,30.158536585365855,0.4146341463414634,0.23170731707317074,1.146341463414634,1.7317073170731707,1.4461538461538461
Devin Booker,10.743589743589743,4.397435897435898,2.2962820512820517,3.9415384615384617,55.38461538461539,30.192307692307693,0.5897435897435898,0.5384615384615384,0.8333333333333334,1.5384615384615385,1.2037037037037037
Jerami Grant,1.9883720930232558,1.0930232558139534,1.3277906976744187,4.11558139534884,23.546511627906977,17.523255813953487,0.18604651162790697,0.05813953488372093,1.1046511627906976,2.2325581395348837,1.2666666666666666
DeMarcus Cousins,10.08641975308642,4.802469135802469,1.7334567901234568,3.070123456790124,68.14814814814815,42.888888888888886,0.6172839506172839,0.2962962962962963,2.9753086419753085,5.8765432098765435,3.6515151515151514
Trey Burke,1.297872340425532,0.5,0.5551063829787235,2.8057446808510638,16.21276595744681,12.106382978723405,0.23404255319148937,0.0851063829787234,0.2978723404255319,0.5212765957446809,0.9655172413793104
Julius Randle,6.430379746835443,3.2658227848101267,1.7448101265822795,3.694303797468354,51.0,36.81012658227848,0.4936708860759494,0.20253164556962025,2.7721518987341773,4.670886075949367,3.2686567164179103
Marc Gasol,6.193181818181818,3.022727272727273,1.835909090909091,3.1884090909090914,66.19318181818181,46.43181818181818,0.6363636363636364,0.3977272727272727,2.5113636363636362,5.136363636363637,3.0273972602739727
Tony Parker,4.5125,2.1375,1.6012499999999998,3.8453749999999998,51.875,40.1375,0.8375,0.3,0.5125,0.8875,1.0
Richaun Holmes,3.0526315789473686,1.8289473684210527,1.0914473684210524,3.120526315789473,26.36842105263158,19.092105263157894,0.2236842105263158,0.039473684210526314,2.0921052631578947,4.302631578947368,2.9444444444444446
LeBron James,9.208333333333334,5.479166666666667,2.220833333333334,3.4862499999999996,82.73958333333333,55.229166666666664,1.2916666666666667,0.7291666666666666,1.8333333333333333,3.5104166666666665,2.0229885057471266
Brook Lopez,8.177215189873417,4.2784810126582276,1.8248101265822787,3.7272151898734185,47.949367088607595,27.68354430379747,0.4177215189873418,0.26582278481012656,2.6455696202531644,5.481012658227848,3.1194029850746268
Damian Lillard,10.65,4.8,2.3649999999999998,3.984625000000001,81.6875,54.55,1.3625,0.675,0.8125,1.425,1.1607142857142858
Zach Randolph,7.174418604651163,3.546511627906977,1.4440697674418608,3.5202325581395337,41.24418604651163,25.732558139534884,0.4069767441860465,0.1744186046511628,1.8953488372093024,3.4186046511627906,2.295774647887324
DeAndre Liggins,0.961038961038961,0.38961038961038963,0.744935064935065,3.5676623376623398,13.584415584415584,10.623376623376624,0.2727272727272727,0.09090909090909091,0.42857142857142855,0.7402597402597403,1.064516129032258
Enes Kanter,7.324675324675325,4.1688311688311686,1.373376623376623,4.106493506493508,31.545454545454547,17.662337662337663,0.18181818181818182,0.11688311688311688,2.792207792207792,5.142857142857143,3.028169014084507
Ty Lawson,2.6419753086419755,1.2345679012345678,1.3914814814814813,3.3972839506172847,48.97530864197531,37.45679012345679,0.9259259259259259,0.37037037037037035,0.4444444444444444,0.6666666666666666,1.0
Langston Galloway,2.037037037037037,0.5802469135802469,1.2730864197530862,3.764567901234568,26.85185185185185,18.691358024691358,0.2962962962962963,0.12345679012345678,0.5925925925925926,0.9382716049382716,1.1428571428571428
Wesley Matthews,3.5063291139240507,1.3291139240506329,2.0441772151898734,3.6456962025316453,44.08860759493671,29.924050632911392,0.34177215189873417,0.10126582278481013,0.8987341772151899,1.4683544303797469,1.3653846153846154
Willy Hernangomez,4.113924050632911,2.189873417721519,1.2218987341772154,3.973797468354432,35.51898734177215,26.468354430379748,0.2911392405063291,0.11392405063291139,2.5949367088607596,4.89873417721519,3.0597014925373136
Terry Rozier,2.242424242424242,0.8181818181818182,1.1333333333333333,4.0455555555555565,32.686868686868685,25.747474747474747,0.6464646464646465,0.06060606060606061,0.48484848484848486,0.898989898989899,0.8571428571428571
Mirza Teletovic,1.7613636363636365,0.6477272727272727,0.9168181818181815,3.425795454545454,20.863636363636363,15.011363636363637,0.1590909090909091,0.011363636363636364,1.0113636363636365,1.8522727272727273,1.5344827586206897
Salah Mejri,1.2345679012345678,0.7407407407407407,0.7628395061728397,3.71074074074074,14.617283950617283,11.728395061728396,0.20987654320987653,0.04938271604938271,1.876543209876543,3.5925925925925926,2.303030303030303
Alex Abrines,1.3780487804878048,0.5121951219512195,0.962560975609756,3.7520731707317063,16.036585365853657,10.74390243902439,0.14634146341463414,0.04878048780487805,0.6585365853658537,1.1341463414634145,1.0588235294117647
TJ Warren,7.08955223880597,3.582089552238806,2.1240298507462687,4.077164179104476,38.19402985074627,23.865671641791046,0.4626865671641791,0.029850746268656716,1.0895522388059702,1.9850746268656716,1.5208333333333333
