,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age_x,BLK,BLK%,BPM,DBPM,DRB,DRB%,DRtg,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,GS_x,G_x,Ht,Lg_x,MP.1_x,MP_x,OBPM,ORB,ORB%,ORtg,OWS,PER,PF,PTS,Player,STL,STL%,Season_x,TOV,TOV%,TRB,TRB%,TS%_x,Tm_x,USG%,VORP,WS,WS/48,cfga,cfgm,dfga,dfgm,dist,eFG%,ftast,pass,player_year,rimd,sast,spd,tchs
11,0.3,0.313,0.8,1.6,0.327,5,0.86,2.4,9,34,0.2,0.5,-3,-0.3,4.5,14,109,0.5,1.9,0.325,5.9,0.2,0.75,0.2,0.035,15,52,6-8,NBA,701,13.5,-2.6,0.2,0.7,96,-0.1,4.6,3.8,5.6,Mike Miller,0.7,1,2014-15,1.2,16.6,4.7,7.4,0.471,CLE,8.9,-0.2,0.4,0.028,0.221052631579,0.0947368421053,0.536842105263,0.263157894737,0.54,0.465,0.0947368421053,9.30526315789,Mike Miller/2014-15,0.961538461538,0.115789473684,2.53157894737,11.0947368421
51,1.2,0.519,2.3,1.2,0.295,4.2,0.646,5.7,21.8,38,0,0.1,0.4,1.5,3.3,9.9,104,1.1,2.4,0.374,6.4,0.3,0.875,0.3,0.054,3,59,6-3,NBA,823,13.9,-1.1,1.7,5.1,103,0.3,10.2,3.6,6.3,Pablo Prigioni,2.3,3.2,2015-16,2.1,24.6,5,7.5,0.482,LAC,11,0.5,1.5,0.087,0.5,0.177777777778,0.622222222222,0.411111111111,0.719666666667,0.469,0.1,17.9111111111,Pablo Prigioni/2015-16,1.08823529412,0.366666666667,3.21711111111,21.2
49,1.5,0.557,2.7,3.1,0.399,7.7,0.739,2,8.3,24,1.2,2.8,1.7,0.5,3.4,10.6,105,1.2,4.6,0.44,10.4,1.2,0.824,1.5,0.145,6,67,6-10,NBA,808,12.1,1.2,1,3.2,115,1.1,12.9,3.3,13.5,Davis Bertans,0.9,1.3,2016-17,1.4,11.4,4.4,6.9,0.609,SAS,15.7,0.8,2.3,0.135,0.604166666667,0.270833333333,1.61458333333,0.90625,0.7146875,0.588,0.0416666666667,11.1041666667,Davis Bertans/2016-17,1.55357142857,0.166666666667,3.58802083333,14.5520833333
0,2.6,0.467,5.5,0,0,0.1,0.018,2.7,9.6,35,0.8,1.7,-1.2,1.3,5.3,15.2,107,0.7,2.6,0.459,5.6,1.2,0.697,1.7,0.303,4,59,6-10,NBA,699,11.8,-2.5,3.5,11.2,99,0.1,7.7,5.5,6.3,Nick Collison,0.8,1.1,2015-16,2.6,28.8,8.8,13.3,0.498,OKC,10.6,0.1,0.8,0.053,0.609929078014,0.290780141844,0.985815602837,0.468085106383,0.38134751773,0.459,0.063829787234,5.74468085106,Nick Collison/2015-16,1.22222222222,0.063829787234,2.02425531915,7.33333333333
156,0.9,0.366,2.4,2.9,0.414,7.1,0.747,1.2,4.8,27,0.4,0.8,-1.8,-0.8,4.4,13.5,109,1,3.8,0.402,9.5,0.4,0.733,0.5,0.053,55,68,6-9,NBA,1065,15.7,-1,0.4,1.3,110,0.8,8.4,4,11,Luke Babbitt,0.7,1,2016-17,0.8,8,4.8,7.4,0.563,MIA,13,0.1,1.8,0.082,0.634146341463,0.19512195122,1.81707317073,1.0243902439,0.955853658537,0.557,0.0365853658537,17.5365853659,Luke Babbitt/2016-17,1.55555555556,0.0975609756098,3.68426829268,21.756097561
250,1,0.548,1.9,1.7,0.343,5,0.728,5.1,21.5,37,0,0.1,-0.5,-0.5,2.7,8.6,107,1,2.7,0.399,6.9,1.1,0.854,1.2,0.18,3,67,6-3,NBA,1197,17.9,0,0.9,2.8,111,1.3,12.2,2.6,8.2,Pablo Prigioni,2.4,3.4,2014-15,1.9,20.1,3.6,5.7,0.557,TOT,11.6,0.5,2.3,0.092,0.666666666667,0.242424242424,0.89898989899,0.505050505051,1.14828282828,0.524,0.151515151515,28.1919191919,Pablo Prigioni/2014-15,0.980392156863,0.565656565657,3.85373737374,33.4848484848
228,0.8,0.5,1.6,2.6,0.36,7.3,0.819,1.4,5.6,30,0.4,0.9,0,0,5.1,16.1,107,1.3,3.4,0.386,8.9,0.8,0.617,1.3,0.142,5,72,6-8,NBA,1341,18.6,0,1,3.1,113,1.5,10.2,2.3,10.3,Anthony Tolliver,0.7,1,2015-16,0.8,7.4,6.1,9.3,0.543,DET,12.4,0.7,2.8,0.1,0.686046511628,0.279069767442,1.95348837209,1.01162790698,1.10337209302,0.533,0.093023255814,20.7558139535,Anthony Tolliver/2015-16,1.47457627119,0.151162790698,3.65313953488,25.6860465116
8,2.2,0.478,4.6,1.1,0.267,4.3,0.483,2,7.7,26,0.7,1.6,-4.2,-0.3,3.6,10.9,111,0.4,3.3,0.376,8.9,1.1,0.759,1.4,0.163,15,51,6-6,NBA,721,14.1,-3.9,0.6,2,87,-0.6,6,2.7,8.9,James Anderson,1,1.4,2015-16,2.1,18,4.3,6.5,0.469,SAC,13.7,-0.4,-0.3,-0.017,0.707070707071,0.30303030303,0.545454545455,0.242424242424,0.53404040404,0.441,0.030303030303,5.36363636364,James Anderson/2015-16,0.888888888889,0.151515151515,2.22202020202,8.0404040404
56,1.4,0.429,3.3,2.6,0.513,5,0.599,1,4.3,25,0.5,1,-1.4,-1.4,4.3,13.5,110,0.5,4,0.479,8.3,0.6,0.684,0.8,0.099,19,63,6-9,NBA,830,13.2,0,0.5,1.6,117,1.1,11.1,2.7,11.1,Luke Babbitt,0.7,1.1,2014-15,1.1,11.5,4.8,7.6,0.639,NOP,12.4,0.1,1.6,0.092,0.714285714286,0.261904761905,1.33333333333,0.761904761905,0.735476190476,0.633,0.0238095238095,9.2380952381,Luke Babbitt/2014-15,1.48837209302,0.0714285714286,3.34642857143,12.1785714286
34,1.7,0.485,3.6,1.6,0.353,4.5,0.556,2.1,8.1,22,0.8,1.6,-0.3,1,3.5,10.1,105,0.8,3.3,0.412,8.1,0.6,0.75,0.8,0.105,9,51,6-6,NBA,683,13.4,-1.3,0.4,1.1,108,0.5,8.7,3.9,8.9,Allen Crabbe,1,1.4,2014-15,0.8,8.6,3.8,5.7,0.525,POR,11.5,0.3,1.3,0.088,0.728395061728,0.320987654321,0.58024691358,0.283950617284,0.642839506173,0.51,0.0123456790123,7.88888888889,Allen Crabbe/2014-15,1,0.0864197530864,2.75296296296,10.3703703704
9,1.2,0.469,2.5,3.1,0.432,7.1,0.739,1.9,7.5,35,0.4,0.8,-0.9,-0.8,4.8,14.7,107,0.6,4.2,0.441,9.6,0.3,0.545,0.6,0.059,2,62,6-10,NBA,705,11.4,-0.1,0.3,0.8,107,0.6,10.5,3.4,11.8,Hedo Turkoglu,1,1.4,2014-15,1.5,13.1,5.1,7.9,0.602,LAC,14.2,0.2,1.2,0.081,0.729166666667,0.28125,0.916666666667,0.395833333333,0.534270833333,0.601,0.0104166666667,8.52083333333,Hedo Turkoglu/2014-15,0.844444444444,0.0625,3.096875,11.40625
95,1.6,0.447,3.5,2.2,0.414,5.4,0.604,1.9,7,30,0.8,1.6,-1.3,-0.2,5.5,15.4,106,1.2,3.8,0.427,8.9,0.6,0.643,1,0.108,25,72,6-6,NBA,1055,14.7,-1.2,0.7,2.3,108,0.8,10.1,1.9,10.4,Brandon Rush,0.7,0.9,2015-16,1.1,10.8,6.2,9.2,0.56,GSW,12.5,0.2,2,0.09,0.733333333333,0.314285714286,1.12380952381,0.561904761905,0.822857142857,0.552,0.0380952380952,10.980952381,Brandon Rush/2015-16,1.07272727273,0.361904761905,3.60171428571,14.4857142857
40,2,0.537,3.6,1.3,0.246,5.2,0.59,1,3.9,29,1.3,3,-1.8,1.6,6.9,20.8,105,1.2,3.2,0.365,8.9,0.5,0.647,0.8,0.085,3,68,6-7,NBA,810,11.9,-3.4,1.2,3.7,94,-0.3,8.4,3.7,8.3,Wesley Johnson,1.3,1.8,2016-17,0.8,8,8,12.5,0.448,LAC,12.5,0,0.9,0.051,0.734939759036,0.289156626506,1.43373493976,0.771084337349,0.680843373494,0.438,0,12.2168674699,Wesley Johnson/2016-17,1.23076923077,0.10843373494,3.49927710843,15.313253012
