player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Nick Collison/2015-16,11.8,2.6,0.0,0.1,0.303,0.498,3.5,8.8,9.6,1.1,1.7,0.018,0.7,1.3,0.38134751773,0.985815602837,8
Jimmer Fredette/2014-15,10.2,3.8,0.6,3.4,0.271,0.479,0.6,2.8,17.2,1.5,0.3,0.289,0.2,-2.9,0.432441860465,0.279069767442,7
Brandon Bass/2016-17,11.1,6.6,0.1,0.2,0.473,0.65,2.7,8.0,5.7,1.2,1.6,0.016,0.6,-0.8,0.463522727273,0.852272727273,8
Tyler Zeller/2016-17,10.3,5.3,0.0,0.1,0.247,0.508,2.9,8.5,12.2,0.7,3.3,0.006,0.6,0.8,0.4725,1.47727272727,8
Justin Holiday/2014-15,11.1,3.1,1.9,6.0,0.191,0.498,0.7,4.0,10.1,3.0,1.4,0.464,1.0,0.5,0.483663366337,0.514851485149,12
Tyler Ennis/2016-17,11.1,3.9,1.7,4.3,0.12,0.521,0.6,2.8,21.7,2.1,0.3,0.337,0.3,-2.7,0.510375,0.3375,7
Cory Jefferson/2014-15,10.6,4.9,0.1,1.0,0.323,0.48,3.2,9.8,4.8,1.0,3.2,0.09,0.6,-0.4,0.516621621622,1.47297297297,8
Phil Pressey/2014-15,12.0,2.9,1.0,3.9,0.282,0.453,0.8,4.8,28.0,2.5,0.8,0.374,0.7,0.0,0.516744186047,0.337209302326,4
James Anderson/2015-16,14.1,2.2,1.1,4.3,0.163,0.469,0.6,4.3,7.7,1.4,1.6,0.483,0.4,-0.3,0.53404040404,0.545454545455,12
Hedo Turkoglu/2014-15,11.4,1.2,3.1,7.1,0.059,0.602,0.3,5.1,7.5,1.4,0.8,0.739,0.6,-0.8,0.534270833333,0.916666666667,12
Jakob Poeltl/2016-17,11.6,3.9,0.0,0.0,0.496,0.589,4.5,9.5,2.7,1.4,2.8,0.0,0.7,0.5,0.534285714286,1.97802197802,8
Mike Miller/2014-15,13.5,0.3,1.6,5.0,0.035,0.471,0.2,4.7,9.0,1.0,0.5,0.86,0.5,-0.3,0.54,0.536842105263,12
Charlie Villanueva/2015-16,10.7,4.2,2.5,9.3,0.073,0.473,1.3,8.2,6.2,1.4,1.9,0.526,0.8,-1.8,0.548372093023,1.03488372093,12
Kris Humphries/2016-17,12.3,3.6,1.0,2.8,0.383,0.514,3.1,10.8,6.4,1.1,2.6,0.252,1.1,0.3,0.552413793103,1.90804597701,8
Trey Burke/2016-17,12.3,4.4,1.6,3.6,0.114,0.532,0.4,2.4,20.7,0.8,0.6,0.275,0.3,-3.4,0.555106382979,0.521276595745,7
Cole Aldrich/2015-16,13.3,6.0,0.0,0.0,0.373,0.626,3.9,13.0,10.0,2.9,6.7,0.0,2.0,5.8,0.555779816514,2.62385321101,8
Marreese Speights/2015-16,11.6,7.5,1.0,2.7,0.25,0.506,3.3,10.3,11.4,1.1,3.0,0.136,1.2,-1.1,0.558220338983,2.20338983051,8
Alonzo Gee/2014-15,12.3,4.0,0.7,1.9,0.414,0.548,2.0,5.1,5.8,2.7,0.8,0.188,0.6,0.3,0.562441860465,0.418604651163,0
Josh Smith/2015-16,16.0,3.5,1.7,5.9,0.192,0.439,2.1,7.9,15.9,1.9,4.3,0.41,1.2,1.6,0.565096153846,1.94230769231,0
Charlie Villanueva/2014-15,10.6,3.6,4.4,11.7,0.097,0.534,1.6,7.9,4.7,1.1,2.6,0.61,0.7,-3.1,0.58476744186,1.66279069767,12
Shabazz Napier/2015-16,10.9,2.0,2.0,6.2,0.224,0.46,0.5,3.3,23.1,1.9,0.1,0.517,0.4,-2.6,0.586315789474,0.302631578947,7
Tomas Satoransky/2016-17,12.6,2.6,0.5,1.9,0.226,0.48,1.3,4.2,16.7,1.8,0.7,0.253,0.5,-0.2,0.586842105263,0.873684210526,7
Tyler Zeller/2015-16,11.8,7.0,0.0,0.0,0.372,0.539,3.1,9.0,6.6,0.7,2.4,0.0,0.9,-1.1,0.590568181818,2.44318181818,8
Kelly Oubre/2015-16,10.7,3.5,1.3,4.2,0.232,0.507,1.3,7.1,2.8,1.6,0.8,0.374,0.7,-1.6,0.591463414634,0.719512195122,12
Travis Wear/2014-15,13.2,3.9,0.6,1.6,0.124,0.451,1.7,5.7,9.9,1.2,1.4,0.144,0.2,-1.6,0.591604938272,1.12345679012,0
Cameron Payne/2015-16,12.2,4.0,1.9,5.7,0.086,0.49,0.5,4.4,22.5,2.6,0.7,0.399,0.8,-0.9,0.592947368421,0.547368421053,7
Amar'e Stoudemire/2015-16,14.7,5.9,0.0,0.0,0.303,0.599,3.1,10.5,5.6,1.2,4.1,0.0,1.3,1.4,0.595638297872,2.47872340426,8
Jeff Withey/2015-16,12.9,4.8,0.0,0.1,0.364,0.577,3.1,9.5,5.0,1.7,6.8,0.012,1.3,3.7,0.598421052632,2.64473684211,8
Joey Dorsey/2014-15,12.4,3.4,0.0,0.0,0.572,0.507,4.3,11.8,4.4,2.3,2.3,0.007,1.5,2.1,0.598787878788,2.50505050505,8
Spencer Hawes/2016-17,14.8,4.9,1.1,3.7,0.188,0.562,1.7,8.6,16.5,0.9,3.3,0.292,1.0,0.8,0.609534883721,1.86046511628,0
Dewayne Dedmon/2015-16,12.2,5.1,0.0,0.0,0.429,0.606,3.4,11.6,2.7,1.6,5.4,0.0,1.1,1.3,0.620740740741,2.62962962963,8
Derrick Williams/2016-17,16.1,3.5,1.3,4.3,0.365,0.537,0.9,5.8,5.1,0.9,0.7,0.398,0.6,-1.8,0.625656565657,0.808080808081,12
Kyle O'Quinn/2015-16,11.8,5.8,0.2,1.0,0.221,0.52,3.6,11.8,15.9,1.3,4.9,0.081,1.2,2.5,0.630375,2.975,13
Richaun Holmes/2015-16,13.8,5.4,0.4,2.3,0.333,0.564,3.2,6.9,8.0,1.3,4.3,0.198,0.5,0.0,0.635679012346,2.20987654321,0
Allen Crabbe/2014-15,13.4,1.7,1.6,4.5,0.105,0.525,0.4,3.8,8.1,1.4,1.6,0.556,0.8,1.0,0.642839506173,0.58024691358,12
Tyus Jones/2016-17,12.9,2.3,1.2,3.4,0.238,0.523,0.5,3.1,28.0,3.1,0.6,0.403,0.6,-1.5,0.659156626506,0.289156626506,4
James Jones/2014-15,11.7,0.6,3.4,9.4,0.229,0.565,0.5,3.3,5.4,1.0,0.9,0.871,0.4,-2.8,0.664077669903,1.14563106796,12
Jon Leuer/2014-15,13.1,5.0,0.3,1.3,0.216,0.478,2.2,9.0,8.8,1.1,0.9,0.106,1.2,0.0,0.665,1.70652173913,8
Andrew Nicholson/2015-16,14.7,4.6,1.8,5.0,0.21,0.567,1.5,8.8,4.8,0.6,2.2,0.368,0.8,-2.0,0.667469879518,1.93975903614,0
Justin Anderson/2015-16,11.8,2.7,1.2,4.6,0.314,0.522,1.0,7.3,6.8,1.5,3.2,0.474,0.8,1.3,0.680512820513,0.653846153846,0
Wesley Johnson/2016-17,11.9,2.0,1.3,5.2,0.085,0.448,1.2,8.0,3.9,1.8,3.0,0.59,1.2,1.6,0.680843373494,1.43373493976,0
Anthony Morrow/2015-16,13.6,2.2,3.1,7.9,0.117,0.543,0.4,2.4,3.7,1.2,0.4,0.613,0.5,-3.2,0.69612244898,0.673469387755,12
Dewayne Dedmon/2014-15,14.3,3.9,0.0,0.0,0.395,0.568,5.0,12.6,1.6,1.0,4.8,0.006,1.0,0.3,0.696125,2.3875,8
