,player,id
0,Patric Young,203942
1,Pau Gasol,2200
2,Tibor Pleiss,202353
3,Jodie Meeks,201975
4,Joakim Noah,201149
5,Derrick Williams,202682
6,Randy Foye,200751
7,Robbie Hummel,203133
8,Mike Miller,2034
9,Jorge Gutierrez,203268
10,Draymond Green,203110
11,Kyle Lowry,200768
12,Carlos Boozer,2430
13,Jannero Pargo,2457
14,Raymond Felton,101109
15,Austin Daye,201948
16,Aaron Harrison,1626151
17,Thaddeus Young,201152
18,Kostas Papanikolaou,203123
19,Kevin Love,201567
20,KJ McDaniels,203909
21,Nikola Vucevic,202696
22,Kelly Oubre,1626162
23,Aaron Brooks,201166
24,Larry Nance,1626204
25,Chauncey Billups,1497
26,George Hill,201588
27,Jordan Hamilton,202706
28,Jarell Martin,1626185
29,Isaiah Thomas,202738
30,Jeremy Evans,202379
31,Jared Sullinger,203096
32,Paul Millsap,200794
33,Avery Bradley,202340
34,Joe Johnson,2207
35,Will Barton,203115
36,Nik Stauskas,203917
37,Devin Booker,1626164
38,Jerami Grant,203924
39,James Jones,2592
40,DeMarcus Cousins,202326
41,Michael Carter-Williams,203487
42,Caron Butler,2406
43,Julius Randle,203944
44,Marc Gasol,201188
45,DJ White,201591
46,Tony Parker,2225
47,PJ Hairston,203798
48,Richaun Holmes,1626158
49,LeBron James,2544
50,Brook Lopez,201572
51,Dwight Powell,203939
52,Damian Lillard,203081
53,Zach Randolph,2216
54,Nazr Mohammed,1737
55,DeAndre Liggins,202732
56,Luke Ridnour,2557
57,Malcolm Thomas,202952
58,Enes Kanter,202683
59,Ty Lawson,201951
60,Wesley Matthews,202083
61,Ronald Roberts,204040
62,Sergey Karasev,203508
63,Henry Walker,201611
64,Elijah Millsap,202407
65,Bryce Cotton,203955
66,Mario Chalmers,201596
67,Terry Rozier,1626179
68,Jerel McNeal,202077
69,Sasha Vujacic,2756
70,Reggie Evans,2501
71,James Southerland,203480
72,Dionte Christmas,202091
73,Justise Winslow,1626159
74,Jeff Adrien,202399
75,AJ Price,201985
76,Salah Mejri,1626257
77,Jordan McRae,203895
78,Khris Middleton,203114
79,Jabari Brown,203913
80,Daniel Orton,202350
81,Casper Ware,203810
82,TJ Warren,203933
83,Al-Farouq Aminu,202329
84,Al Horford,201143
85,Reggie Williams,202130
86,Adonis Thomas,203519
87,Kyle O'Quinn,203124
88,Festus Ezeli,203105
89,James Johnson,201949
90,Duje Dukan,1626251
91,Amir Johnson,101161
92,Jonathon Simmons,203613
93,Luis Montero,1626242
94,Greg Oden,201141
95,Hasheem Thabeet,201934
96,Dorell Wright,2748
97,Jeff Withey,203481
98,Chris Kaman,2549
99,Walter Tavares,204002
100,Joe Young,1626202
101,Ersan Ilyasova,101141
102,OJ Mayo,201564
103,Donatas Motiejunas,202700
104,Jason Smith,201160
105,Brandon Rush,201575
106,Manu Ginobili,1938
107,Josh Powell,2694
108,Antawn Jamison,1712
109,Kevin Garnett,708
110,Leandro Barbosa,2571
111,Courtney Lee,201584
112,Jarvis Varnado,202363
113,Cliff Alexander,1626146
114,Luol Deng,2736
115,Toure Murry,203315
116,Jordan Hill,201941
117,Sam Dekker,1626155
118,Eric Bledsoe,202339
119,Zaza Pachulia,2585
120,Josh Smith,2746
121,Lucas Nogueira,203512
122,David Stockton,204065
123,Jamal Crawford,2037
124,Joe Ingles,204060
125,Anthony Bennett,203461
126,Tarik Black,204028
127,Tyler Johnson,204020
128,Frank Kaminsky,1626163
129,Noah Vonleh,203943
130,Tony Wroten,203100
131,JJ Hickson,201581
132,Quincy Miller,203296
133,Kobe Bryant,977
134,Tony Mitchell,203502
135,Jon Leuer,202720
136,Kentavious Caldwell-Pope,203484
