Rk,Season,Tm,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,2015-16,GSW*,82,73,9,.890,10.76,-0.38,10.38,99.3,114.5,103.8,.563,13.5,23.5,0.191,.479,12.6,24.0,0.208
2,2015-16,SAS*,82,67,15,.817,10.63,-0.36,10.28,93.8,110.3,99.0,.526,12.4,23.0,0.197,.477,14.1,20.9,0.182
3,2014-15,GSW*,82,67,15,.817,10.10,-0.09,10.01,98.3,111.6,101.4,.540,13.1,24.1,0.184,.470,14.3,25.5,0.217
4,2016-17,GSW*,82,67,15,.817,11.63,-0.28,11.35,99.8,115.6,104.0,.563,13.2,22.8,0.204,.485,13.5,25.1,0.198
5,2016-17,SAS*,82,61,21,.744,7.20,-0.06,7.13,94.2,111.1,103.5,.524,12.6,24.0,0.210,.492,13.5,22.4,0.192
6,2014-15,ATL*,82,60,22,.732,5.43,-0.68,4.75,93.9,108.9,103.1,.527,13.5,21.4,0.201,.492,14.9,26.6,0.185
7,2015-16,CLE*,82,57,25,.695,6.00,-0.55,5.45,93.3,110.9,104.5,.524,12.7,25.1,0.194,.496,12.6,21.5,0.205
8,2014-15,HOU*,82,56,26,.683,3.44,0.38,3.82,96.5,107.0,103.4,.512,15.0,26.8,0.223,.486,14.6,27.1,0.208
9,2015-16,TOR*,82,56,26,.683,4.50,-0.42,4.08,92.9,110.0,105.2,.504,12.3,24.6,0.255,.498,12.7,22.3,0.201
10,2014-15,LAC*,82,56,26,.683,6.59,0.22,6.80,94.7,112.4,105.5,.533,11.6,22.8,0.215,.493,13.2,24.3,0.231
11,2014-15,SAS*,82,55,27,.671,6.20,0.14,6.34,93.8,108.5,102.0,.517,13.1,23.4,0.200,.484,13.3,22.7,0.190
12,2014-15,MEM*,82,55,27,.671,3.24,0.38,3.62,92.0,105.7,102.2,.489,12.6,24.7,0.214,.492,14.5,24.7,0.183
13,2015-16,OKC*,82,55,27,.671,7.28,-0.19,7.09,96.7,113.1,105.6,.524,14.0,31.1,0.228,.484,11.7,24.0,0.205
14,2016-17,HOU*,82,55,27,.671,5.77,0.08,5.84,100.0,114.7,109.0,.545,13.3,24.6,0.233,.519,13.2,24.2,0.194
15,2016-17,BOS*,82,53,29,.646,2.63,-0.39,2.25,96.8,111.2,108.4,.525,12.2,21.2,0.220,.503,12.6,24.7,0.223
16,2014-15,CLE*,82,53,29,.646,4.48,-0.40,4.08,92.3,111.1,106.3,.520,13.4,26.8,0.216,.502,12.6,25.3,0.177
17,2015-16,LAC*,82,53,29,.646,4.28,-0.15,4.13,95.8,108.3,103.8,.524,12.1,20.1,0.220,.480,13.8,26.2,0.222
18,2016-17,LAC*,82,51,31,.622,4.29,0.13,4.42,96.1,112.7,108.3,.537,12.1,21.5,0.233,.506,12.2,23.1,0.211
19,2016-17,CLE*,82,51,31,.622,3.18,-0.31,2.87,96.2,113.6,110.3,.547,12.6,22.0,0.206,.516,11.4,24.2,0.174
20,2014-15,POR*,82,51,31,.622,4.23,0.18,4.41,94.2,108.2,103.7,.508,12.6,24.2,0.180,.476,11.3,23.8,0.182
