player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Nick Collison/2015-16,11.8,7.333333333330001,2.6,0.0,0.1,0.303,0.498,3.5,8.8,9.6,1.1,1.7,0.018000000000000002,0.7,1.3,0.38134751773000003,0.9858156028370001,6
Jimmer Fredette/2014-15,10.2,8.77906976744,3.8,0.6,3.4,0.271,0.479,0.6,2.8,17.2,1.5,0.3,0.289,0.2,-2.9,0.432441860465,0.27906976744199996,0
Brandon Bass/2016-17,11.1,10.3977272727,6.6,0.1,0.2,0.473,0.65,2.7,8.0,5.7,1.2,1.6,0.016,0.6,-0.8,0.46352272727300003,0.8522727272730001,6
Tyler Zeller/2016-17,10.3,10.7954545455,5.3,0.0,0.1,0.247,0.508,2.9,8.5,12.2,0.7,3.3,0.006,0.6,0.8,0.4725,1.47727272727,6
Justin Holiday/2014-15,11.1,8.861386138610001,3.1,1.9,6.0,0.191,0.498,0.7,4.0,10.1,3.0,1.4,0.46399999999999997,1.0,0.5,0.48366336633699997,0.514851485149,6
Tyler Ennis/2016-17,11.1,15.55,3.9,1.7,4.3,0.12,0.521,0.6,2.8,21.7,2.1,0.3,0.337,0.3,-2.7,0.510375,0.3375,0
Cory Jefferson/2014-15,10.6,11.5675675676,4.9,0.1,1.0,0.32299999999999995,0.48,3.2,9.8,4.8,1.0,3.2,0.09,0.6,-0.4,0.516621621622,1.4729729729700003,6
Phil Pressey/2014-15,12.0,17.1046511628,2.9,1.0,3.9,0.282,0.45299999999999996,0.8,4.8,28.0,2.5,0.8,0.374,0.7,0.0,0.516744186047,0.33720930232600005,0
James Anderson/2015-16,14.1,8.0404040404,2.2,1.1,4.3,0.163,0.469,0.6,4.3,7.7,1.4,1.6,0.483,0.4,-0.3,0.53404040404,0.545454545455,6
Hedo Turkoglu/2014-15,11.4,11.40625,1.2,3.1,7.1,0.059000000000000004,0.602,0.3,5.1,7.5,1.4,0.8,0.7390000000000001,0.6,-0.8,0.5342708333330001,0.916666666667,6
Jakob Poeltl/2016-17,11.6,8.61538461538,3.9,0.0,0.0,0.496,0.589,4.5,9.5,2.7,1.4,2.8,0.0,0.7,0.5,0.534285714286,1.9780219780200001,6
Mike Miller/2014-15,13.5,11.0947368421,0.3,1.6,5.0,0.035,0.47100000000000003,0.2,4.7,9.0,1.0,0.5,0.86,0.5,-0.3,0.54,0.536842105263,6
Charlie Villanueva/2015-16,10.7,13.697674418599998,4.2,2.5,9.3,0.073,0.473,1.3,8.2,6.2,1.4,1.9,0.526,0.8,-1.8,0.5483720930229999,1.03488372093,6
Kris Humphries/2016-17,12.3,16.9195402299,3.6,1.0,2.8,0.38299999999999995,0.514,3.1,10.8,6.4,1.1,2.6,0.252,1.1,0.3,0.552413793103,1.9080459770099998,6
Trey Burke/2016-17,12.3,16.2127659574,4.4,1.6,3.6,0.114,0.532,0.4,2.4,20.7,0.8,0.6,0.275,0.3,-3.4,0.555106382979,0.5212765957450001,0
Cole Aldrich/2015-16,13.3,16.3211009174,6.0,0.0,0.0,0.373,0.626,3.9,13.0,10.0,2.9,6.7,0.0,2.0,5.8,0.555779816514,2.6238532110099997,6
Marreese Speights/2015-16,11.6,18.042372881400002,7.5,1.0,2.7,0.25,0.506,3.3,10.3,11.4,1.1,3.0,0.136,1.2,-1.1,0.5582203389829999,2.20338983051,6
Alonzo Gee/2014-15,12.3,8.63953488372,4.0,0.7,1.9,0.414,0.5479999999999999,2.0,5.1,5.8,2.7,0.8,0.188,0.6,0.3,0.562441860465,0.418604651163,6
Josh Smith/2015-16,16.0,17.3269230769,3.5,1.7,5.9,0.192,0.439,2.1,7.9,15.9,1.9,4.3,0.41,1.2,1.6,0.565096153846,1.9423076923099998,6
Charlie Villanueva/2014-15,10.6,15.976744186,3.6,4.4,11.7,0.09699999999999999,0.534,1.6,7.9,4.7,1.1,2.6,0.61,0.7,-3.1,0.5847674418600001,1.6627906976700002,6
Shabazz Napier/2015-16,10.9,18.0526315789,2.0,2.0,6.2,0.22399999999999998,0.46,0.5,3.3,23.1,1.9,0.1,0.517,0.4,-2.6,0.586315789474,0.302631578947,0
Tomas Satoransky/2016-17,12.6,13.1368421053,2.6,0.5,1.9,0.226,0.48,1.3,4.2,16.7,1.8,0.7,0.253,0.5,-0.2,0.586842105263,0.873684210526,0
Tyler Zeller/2015-16,11.8,14.1136363636,7.0,0.0,0.0,0.37200000000000005,0.539,3.1,9.0,6.6,0.7,2.4,0.0,0.9,-1.1,0.590568181818,2.44318181818,6
Kelly Oubre/2015-16,10.7,9.82926829268,3.5,1.3,4.2,0.23199999999999998,0.507,1.3,7.1,2.8,1.6,0.8,0.374,0.7,-1.6,0.591463414634,0.7195121951219999,6
Travis Wear/2014-15,13.2,13.4691358025,3.9,0.6,1.6,0.124,0.451,1.7,5.7,9.9,1.2,1.4,0.14400000000000002,0.2,-1.6,0.591604938272,1.12345679012,6
Cameron Payne/2015-16,12.2,17.7052631579,4.0,1.9,5.7,0.086,0.49,0.5,4.4,22.5,2.6,0.7,0.39899999999999997,0.8,-0.9,0.592947368421,0.547368421053,0
Amar'e Stoudemire/2015-16,14.7,11.9255319149,5.9,0.0,0.0,0.303,0.599,3.1,10.5,5.6,1.2,4.1,0.0,1.3,1.4,0.595638297872,2.47872340426,6
Jeff Withey/2015-16,12.9,15.25,4.8,0.0,0.1,0.364,0.5770000000000001,3.1,9.5,5.0,1.7,6.8,0.012,1.3,3.7,0.598421052632,2.64473684211,6
Joey Dorsey/2014-15,12.4,11.696969697,3.4,0.0,0.0,0.5720000000000001,0.507,4.3,11.8,4.4,2.3,2.3,0.006999999999999999,1.5,2.1,0.598787878788,2.50505050505,6
Spencer Hawes/2016-17,14.8,15.8255813953,4.9,1.1,3.7,0.188,0.562,1.7,8.6,16.5,0.9,3.3,0.292,1.0,0.8,0.6095348837210001,1.8604651162799999,6
Dewayne Dedmon/2015-16,12.2,11.592592592599999,5.1,0.0,0.0,0.429,0.606,3.4,11.6,2.7,1.6,5.4,0.0,1.1,1.3,0.620740740741,2.62962962963,6
Derrick Williams/2016-17,16.1,13.6868686869,3.5,1.3,4.3,0.365,0.537,0.9,5.8,5.1,0.9,0.7,0.39799999999999996,0.6,-1.8,0.625656565657,0.808080808081,6
Kyle O'Quinn/2015-16,11.8,22.1625,5.8,0.2,1.0,0.221,0.52,3.6,11.8,15.9,1.3,4.9,0.081,1.2,2.5,0.630375,2.975,12
Richaun Holmes/2015-16,13.8,14.506172839500001,5.4,0.4,2.3,0.33299999999999996,0.564,3.2,6.9,8.0,1.3,4.3,0.198,0.5,0.0,0.635679012346,2.2098765432099996,6
Allen Crabbe/2014-15,13.4,10.3703703704,1.7,1.6,4.5,0.105,0.525,0.4,3.8,8.1,1.4,1.6,0.556,0.8,1.0,0.642839506173,0.58024691358,6
Tyus Jones/2016-17,12.9,18.313253012,2.3,1.2,3.4,0.23800000000000002,0.523,0.5,3.1,28.0,3.1,0.6,0.40299999999999997,0.6,-1.5,0.659156626506,0.289156626506,0
